,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,1599.0,2540.0,4061460.0,62816.0,4024.0,252771584.0,62230,5204,323844920,212316,3080,653933280,20115,4896,98483040,68591,6084,417307644,165365,4808,795074920,221766,3412,756665592,104352,1436,149849472,39568,2384,94330112,1.0,1856.0,1856.0,3546323880.0
70,2010-02,1569.0,2540.0,3985260.0,59362.0,4024.0,238872688.0,61172,5204,318339088,206889,3080,637218120,20083,4896,98326368,68166,6084,414721944,163168,4808,784511744,219478,3412,748858936,102061,1436,146559596,38797,2384,92492048,1.0,1856.0,1856.0,3483887648.0
69,2010-03,1768.0,2540.0,4490720.0,62450.0,4024.0,251298800.0,61571,5204,320415484,211657,3080,651903560,21196,4896,103775616,68533,6084,416954772,167768,4808,806628544,223438,3412,762370456,106877,1436,153475372,40226,2384,95898784,6.0,1856.0,11136.0,3567223244.0
68,2010-04,1971.0,2636.0,5195556.0,65476.0,4024.0,263475424.0,61820,4956,306379920,215266,3000,645798000,21393,4376,93615768,68315,5172,353325180,170876,4684,800383184,224606,3632,815768992,111641,1512,168801192,40768,2508,102246144,1.0,1504.0,1504.0,3554990864.0
67,2010-05,2030.0,2636.0,5351080.0,66190.0,4024.0,266348560.0,61813,4956,306345228,216377,3000,649131000,21149,4376,92548024,68195,5172,352704540,170968,4684,800814112,224586,3632,815696352,115798,1512,175086576,41130,2508,103154040,1.0,1504.0,1504.0,3567181016.0
66,2010-06,2006.0,2636.0,5287816.0,67249.0,4024.0,270609976.0,62156,4956,308045136,217066,3000,651198000,21413,4376,93703288,68653,5172,355073316,173839,4684,814261876,223192,3632,810633344,118479,1512,179140248,41332,2508,103660656,1.0,1504.0,1504.0,3591615160.0
65,2010-07,,,,,,,62173,4964,308626772,215782,3024,652524768,20635,4896,101028960,68689,5084,349214876,173050,4820,834101000,222894,3696,823816224,118429,1608,190433832,41399,2540,105153460,4.0,1560.0,6240.0,
64,2010-08,,,,,,,62116,4964,308343824,215750,3024,652428000,19726,4896,96578496,68553,5084,348523452,173931,4820,838347420,221728,3696,819506688,119078,1608,191477424,41035,2540,104228900,4.0,1560.0,6240.0,
63,2010-09,,,,,,,61581,4964,305688084,215497,3024,651662928,19643,4896,96172128,68003,5084,345727252,172711,4820,832467020,223585,3696,826370160,115992,1608,186515136,40945,2540,104000300,4.0,1560.0,6240.0,
62,2010-10,,,,,,,61122,5532,338126904,219030,3264,714913920,19834,5524,109563016,68213,7008,478036704,175347,5620,985450140,226122,4012,907201464,112246,1736,194859056,40778,2784,113525952,0.0,0.0,0.0,
61,2010-11,,,,,,,60693,5532,335753676,222591,3264,726537024,19272,5524,106458528,68116,7008,477356928,174524,5620,980824880,227175,4012,911426100,110037,1736,191024232,40796,2784,113576064,0.0,0.0,0.0,
60,2010-12,,,,,,,60866,5532,336710712,225957,3264,737523648,19971,5524,110319804,68403,7008,479368224,174157,5620,978762340,227305,4012,911947660,109185,1736,189545160,40698,2784,113303232,0.0,0.0,0.0,
