,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,3208.0,3900.0,12511200.0,68684.0,4776.0,328034784.0,177327.0,6100.0,1081694700.0,377873,3216,1215239568,73128,7576,554017728,174318,10488,1828247184,376261,6372,2397535092,449574,3960,1780313040,203108,1676,340409008,91635,2164,198298140,4,2240,8960,9736309404.0
70,2010-02,3146.0,3900.0,12269400.0,66513.0,4776.0,317666088.0,176680.0,6100.0,1077748000.0,371769,3216,1195609104,72859,7576,551979784,173703,10488,1821797064,376570,6372,2399504040,454036,3960,1797982560,202018,1676,338582168,88859,2164,192290876,6,2240,13440,9705442524.0
69,2010-03,3310.0,3900.0,12909000.0,67780.0,4776.0,323717280.0,176809.0,6100.0,1078534900.0,372095,3216,1196657520,72891,7576,552222216,173374,10488,1818346512,378166,6372,2409673752,455766,3960,1804833360,204593,1676,342897868,88023,2164,190481772,3,2240,6720,9730280900.0
68,2010-04,4014.0,3160.0,12684240.0,73080.0,4776.0,349030080.0,177217.0,6144.0,1088821248.0,375657,3248,1220133936,73059,7060,515796540,173113,6912,1196557056,386512,6144,2374729728,457261,4224,1931470464,217881,1756,382599036,89888,2256,202787328,9,1368,12312,9274621968.0
67,2010-05,4326.0,3160.0,13670160.0,76475.0,4776.0,365244600.0,178016.0,6144.0,1093730304.0,379349,3248,1232125552,73215,7060,516897900,173660,6912,1200337920,387001,6144,2377734144,456547,4224,1928454528,226242,1756,397280952,92044,2256,207651264,15,1368,20520,9333147844.0
66,2010-06,4431.0,3160.0,14001960.0,78976.0,4776.0,377189376.0,179236.0,6144.0,1101225984.0,383349,3248,1245117552,73920,7060,521875200,175074,6912,1210111488,389974,6144,2396000256,451186,4224,1905809664,233125,1756,409367500,92094,2256,207764064,32,1368,43776,9388506820.0
65,2010-07,4384.0,3368.0,14765312.0,81242.0,4988.0,405235096.0,179197.0,6124.0,1097402428.0,380523,3284,1249637532,73627,7268,535121036,176033,7224,1271662392,393152,6172,2426534144,451143,4408,1988638344,235121,1812,426039252,94986,2296,218087856,56,1428,79968,9633203360.0
64,2010-08,4323.0,3368.0,14559864.0,81000.0,4988.0,404028000.0,179119.0,6124.0,1096924756.0,379940,3284,1247722960,73355,7268,533144140,175713,7224,1269350712,392339,6172,2421516308,448646,4408,1977631568,234832,1812,425515584,93777,2296,215311992,50,1428,71400,9605777284.0
63,2010-09,4404.0,3368.0,14832672.0,79779.0,4988.0,397937652.0,178619.0,6124.0,1093862756.0,378181,3284,1241946404,72628,7268,527860304,173446,7224,1252973904,387790,6172,2393439880,454812,4408,2004811296,227616,1812,412440192,89626,2296,205781296,47,1428,67116,9545953472.0
62,2010-10,4463.0,3864.0,17245032.0,79611.0,5640.0,449006040.0,179883.0,6956.0,1251266148.0,385056,3632,1398523392,71968,8088,582077184,173089,10188,1763430732,391958,7456,2922438848,460654,4584,2111637936,227367,1896,431087832,91791,2480,227641680,4,1012,4048,11154358872.0
