,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,329,3376,1110704,9513,4244,40373172,37362,7416,277076592,70061,4480,313873280,10309,6640,68451760,42094,24380,1026251720,58367,8828,515263876,65629,3524,231276596,30024,1828,54883872,15908,2324,36970192,42,3796,159432,2565691196
70,2010-02,326,3376,1100576,9322,4244,39562568,37263,7416,276342408,68577,4480,307224960,10262,6640,68139680,42080,24380,1025910400,58571,8828,517064788,65781,3524,231812244,29913,1828,54680964,15744,2324,36589056,45,3796,170820,2558598464
69,2010-03,342,3376,1154592,9523,4244,40415612,37309,7416,276683544,68785,4480,308156800,10300,6640,68392000,42160,24380,1027860800,59430,8828,524648040,66379,3524,233919596,30615,1828,55964220,15926,2324,37012024,49,3796,186004,2574393232
68,2010-04,359,3432,1232088,10830,4232,45832560,37280,6216,231732480,69082,3916,270525112,10412,5868,61097616,42214,14540,613791560,62076,6620,410943120,66528,3784,251741952,32345,1844,59644180,16237,2428,39423436,31,5068,157108,1986121212
67,2010-05,375,3432,1287000,11166,4232,47254512,37468,6216,232901088,70805,3916,277272380,10481,5868,61502508,42401,14540,616510540,62383,6620,412975460,66915,3784,253206360,34227,1844,63114588,16431,2428,39894468,32,5068,162176,2006081080
66,2010-06,411,3432,1410552,11549,4232,48875368,37966,6216,235996656,71990,3916,281912840,10345,5868,60704460,43047,14540,625903380,63220,6620,418516400,66404,3784,251272736,35673,1844,65781012,16907,2428,41050196,36,5068,182448,2031606048
65,2010-07,401,3304,1324904,11889,4332,51503148,38040,6776,257759040,70862,3904,276645248,10289,6328,65108792,43274,12080,522749920,63478,6728,427079984,66664,3948,263189472,36764,1908,70145712,17202,2580,44381160,46,4452,204792,1980092172
64,2010-08,385,3304,1272040,12012,4332,52035984,37911,6776,256884936,70577,3904,275532608,10279,6328,65045512,43354,12080,523716320,63304,6728,425909312,65894,3948,260149512,36050,1908,68783400,17093,2580,44099940,48,4452,213696,1973643260
63,2010-09,380,3304,1255520,11830,4332,51247560,37769,6776,255922744,70638,3904,275770752,10204,6328,64570912,42645,12080,515151600,62922,6728,423339216,66670,3948,263213160,34539,1908,65900412,16510,2580,42595800,55,4452,244860,1959212536
62,2010-10,397,3852,1529244,11718,5056,59246208,37660,7396,278533360,71786,4468,320739848,10193,7640,77874520,42530,18600,791058000,63287,8428,533382836,67803,4296,291281688,33869,2076,70312044,16495,2692,44404540,87,3536,307632,2468669920
61,2010-11,358,3852,1379016,11615,5056,58725440,37504,7396,277379584,73810,4468,329783080,10252,7640,78325280,42575,18600,791895000,63069,8428,531545532,68160,4296,292815360,33221,2076,68966796,16561,2692,44582212,97,3536,342992,2475740292
60,2010-12,372,3852,1432944,11264,5056,56950784,37495,7396,277313020,75880,4468,339031840,10401,7640,79463640,42856,18600,797121600,62778,8428,529092984,68402,4296,293854992,33588,2076,69728688,16646,2692,44811032,99,3536,350064,2489151588
59,2011-01,276,4656,1285056,9885,4112,40647120,37478,8428,315864584,71740,4892,350952080,10297,6728,69278216,42295,25928,1096624760,60425,9160,553493000,67028,3656,245054368,31356,1792,56189952,16318,2328,37988304,143,4940,706420,2768083860
58,2011-02,273,4656,1271088,9783,4112,40227696,37458,8428,315696024,70748,4892,346099216,10297,6728,69278216,42282,25928,1096287696,60720,9160,556195200,67327,3656,246147512,31653,1792,56722176,16388,2328,38151264,150,4940,741000,2766817088
57,2011-03,294,4656,1368864,10043,4112,41296816,37573,8428,316665244,70787,4892,346290004,10297,6728,69278216,42308,25928,1096961824,61544,9160,563743040,67894,3656,248220464,32239,1792,57772288,16555,2328,38540040,154,4940,760760,2780897560
56,2011-04,340,3940,1339600,11098,4252,47188696,37408,6740,252129920,71486,3952,282512672,10287,6096,62709552,42320,16512,698787840,63415,6828,432997620,68140,3772,257024080,33828,1904,64408512,16622,2468,41023096,105,2504,262920,2140384508
55,2011-05,347,3940,1367180,11576,4252,49221152,37472,6740,252561280,72146,3952,285120992,10266,6096,62581536,42292,16512,698325504,63822,6828,435776616,68196,3772,257235312,35273,1904,67159792,16786,2468,41427848,105,2504,262920,2151040132
54,2011-06,390,3940,1536600,11846,4252,50369192,37673,6740,253916020,73084,3952,288827968,10294,6096,62752224,42235,16512,697384320,64500,6828,440406000,67876,3772,256028272,37344,1904,71102976,17132,2468,42281776,109,2504,272936,2164878284
53,2011-07,381,3372,1284732,12035,4512,54301920,37584,6764,254218176,72153,4116,296981748,10499,6444,67655556,43149,14196,612543204,64885,7164,464836140,67819,4024,272903656,38688,1936,74899968,17425,2660,46350500,103,2808,289224,2146264824
