,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,692,2548,1763216,10373,4352,45143296,33348,4820,160737360,63001,2804,176654804,6539,5336,34892104,15686,5260,82508360,33743,4832,163046176,87658,3648,319776384,25028,1260,31535280,11898,2016,23986368,12,1732,20784,1040064132
70,2010-02,669,2548,1704612,10122,4352,44050944,33227,4820,160154140,61772,2804,173208688,6472,5336,34534592,15664,5260,82392640,34619,4832,167279008,88547,3648,323019456,25523,1260,32158980,11968,2016,24127488,9,1732,15588,1042646136
69,2010-03,786,2548,2002728,10447,4352,45465344,33377,4820,160877140,62068,2804,174038672,6439,5336,34358504,15720,5260,82687200,34455,4832,166486560,88463,3648,322713024,25868,1260,32593680,12214,2016,24623424,13,1732,22516,1045868792
68,2010-04,1060,2724,2887440,11465,4356,49941540,33414,4564,152501496,61884,2960,183176640,6373,4872,31049256,15679,4620,72436980,35405,4360,154365800,89253,3912,349157736,27282,1296,35357472,12380,2144,26542720,13,1924,25012,1057442092
67,2010-05,1137,2724,3097188,11891,4356,51797196,33587,4564,153291068,62962,2960,186367520,6392,4872,31141824,15728,4620,72663360,35356,4360,154152160,89267,3912,349212504,28540,1296,36987840,12476,2144,26748544,14,1924,26936,1065486140
66,2010-06,1140,2724,3105360,12012,4356,52324272,33949,4564,154943236,63665,2960,188448400,6392,4872,31141824,15870,4620,73319400,36030,4360,157090800,88781,3912,347311272,29095,1296,37707120,12838,2144,27524672,16,1924,30784,1072947140
65,2010-07,1094,2752,3010688,12261,4452,54585972,33832,4752,160769664,62728,3000,188184000,6399,4668,29870532,16156,4564,73735984,35810,4424,158423440,88690,4088,362564720,29217,1316,38449572,13055,2120,27676600,21,1892,39732,1097310904
64,2010-08,1072,2752,2950144,12278,4452,54661656,33778,4752,160513056,62773,3000,188319000,6417,4668,29954556,16120,4564,73571680,35922,4424,158918928,88062,4088,359997456,29018,1316,38187688,13042,2120,27649040,33,1892,62436,1094785640
63,2010-09,1063,2752,2925376,12109,4452,53909268,33751,4752,160384752,62712,3000,188136000,6371,4668,29739828,15862,4564,72394168,35852,4424,158609248,90095,4088,368308360,28262,1316,37192792,12839,2120,27218680,33,1892,62436,1098880908
62,2010-10,964,3652,3520528,11958,5000,59790000,33413,5580,186444540,63563,3264,207469632,6316,5740,36253840,15826,5480,86726480,36051,5300,191070300,91175,4292,391323100,27754,1384,38411536,12808,2292,29355936,37,2116,78292,1230444184
61,2010-11,981,3652,3582612,11793,5000,58965000,33344,5580,186059520,64864,3264,211716096,6333,5740,36351420,15862,5480,86923760,35790,5300,189687000,90815,4292,389777980,27589,1384,38183176,12689,2292,29083188,39,2116,82524,1230412276
60,2010-12,805,3652,2939860,11398,5000,56990000,33478,5580,186807240,65913,3264,215140032,6305,5740,36190700,15929,5480,87290920,35990,5300,190747000,90588,4292,388803696,27793,1384,38465512,12933,2292,29642436,42,2116,88872,1233106268
59,2011-01,618,2760,1705680,10465,4240,44371600,32967,5120,168791040,62823,2900,182186700,6198,5668,35130264,15975,5712,91249200,35425,5068,179533900,90047,3808,342898976,25936,1264,32783104,12205,2048,24995840,34,1800,61200,1103707504
58,2011-02,644,2760,1777440,10627,4240,45058480,33019,5120,169057280,61961,2900,179686900,6195,5668,35113260,15937,5712,91032144,36164,5068,183279152,90667,3808,345259936,26482,1264,33473248,12291,2048,25171968,34,1800,61200,1108971008
57,2011-03,740,2760,2042400,10608,4240,44977920,33146,5120,169707520,62024,2900,179869600,6184,5668,35050912,15960,5712,91163520,35756,5068,181211408,90797,3808,345754976,27011,1264,34141904,12310,2048,25210880,31,1800,55800,1109186840
56,2011-04,1023,2672,2733456,11425,4284,48944700,33256,4760,158298560,63278,2984,188821552,6027,5068,30544836,15875,5152,81788000,36825,4628,170426100,90670,3892,352887640,28136,1304,36689344,12772,2148,27434256,40,1760,70400,1098638844
55,2011-05,1083,2672,2893776,12033,4284,51549372,33301,4760,158512760,63639,2984,189898776,6034,5068,30580312,15871,5152,81767392,36597,4628,169370916,91129,3892,354674068,29388,1304,38321952,12791,2148,27475068,37,1760,65120,1105109512
54,2011-06,1088,2672,2907136,12402,4284,53130168,33579,4760,159836040,63867,2984,190579128,6054,5068,30681672,15974,5152,82298048,37100,4628,171698800,90706,3892,353027752,30265,1304,39465560,13187,2148,28325676,46,1760,80960,1112030940
53,2011-07,1048,2660,2787680,12658,4464,56505312,33390,4820,160939800,63001,3140,197823140,6019,5344,32165536,15944,4848,77296512,36920,4556,168207520,89860,4196,377052560,30047,1356,40743732,13288,2184,29020992,47,1920,90240,1142633024
52,2011-08,1034,2660,2750440,12700,4464,56692800,33359,4820,160790380,63136,3140,198247040,5933,5344,31705952,15973,4848,77437104,36761,4556,167483116,89510,4196,375583960,29877,1356,40513212,13248,2184,28933632,55,1920,105600,1140243236
51,2011-09,1033,2660,2747780,12493,4464,55768752,33309,4820,160549380,63559,3140,199575260,5874,5344,31390656,15697,4848,76099056,36770,4556,167524120,91020,4196,381919920,29455,1356,39940980,12939,2184,28258776,51,1920,97920,1143872600
50,2011-10,964,3152,3038528,12407,4852,60198764,33234,5608,186376272,64090,3212,205857080,5929,5160,30593640,15572,5112,79604064,36852,5012,184702224,91904,4196,385629184,28686,1372,39357192,12658,2284,28910872,49,2060,100940,1204368760
49,2011-11,1021,3152,3218192,12280,4852,59582560,33327,5608,186897816,65541,3212,210517692,5954,5160,30722640,15461,5112,79036632,37031,5012,185599372,92047,4196,386229212,28456,1372,39041632,12695,2284,28995380,49,2060,100940,1209942068
48,2011-12,883,3152,2783216,11996,4852,58204592,33319,5608,186852952,66583,3212,213864596,5907,5160,30480120,15560,5112,79542720,37403,5012,187463836,91678,4196,384680888,28738,1372,39428536,12984,2284,29655456,43,2060,88580,1213045492
47,2012-01,663,2680,1776840,11197,4456,49893832,32677,5344,174625888,64159,3052,195813268,5894,5828,34350232,15966,5964,95221224,37438,5624,210551312,91207,4000,364828000,27695,1328,36778960,12617,2160,27252720,36,1932,69552,1191161828
46,2012-02,647,2680,1733960,11102,4456,49470512,32723,5344,174871712,62850,3052,191818200,5854,5828,34117112,15876,5964,94684464,37452,5624,210630048,92779,4000,371116000,27987,1328,37166736,12688,2160,27406080,36,1932,69552,1193084376
45,2012-03,795,2680,2130600,11142,4456,49648752,32806,5344,175315264,63249,3052,193035948,5832,5828,33988896,15919,5964,94940916,38082,5624,214173168,92492,4000,369968000,28728,1328,38150784,12738,2160,27514080,32,1932,61824,1198928232
44,2012-04,991,2696,2671736,11730,4356,51095880,32774,4824,158101776,63409,2996,189973364,5698,4992,28444416,15920,4764,75842880,38712,4684,181327008,92173,4000,368692000,29909,1316,39360244,13024,2192,28548608,39,2540,99060,1124156972
43,2012-05,1064,2696,2868544,12071,4356,52581276,32889,4824,158656536,64365,2996,192837540,5686,4992,28384512,15956,4764,76014384,38638,4684,180980392,93755,4000,375020000,31275,1316,41157900,13069,2192,28647248,44,2540,111760,1137260092
42,2012-06,1057,2696,2849672,12330,4356,53709480,33042,4824,159394608,65002,2996,194745992,5662,4992,28264704,16244,4764,77386416,38758,4684,181542472,93138,4000,372552000,32266,1316,42462056,13328,2192,29214976,48,2540,121920,1142244296
41,2012-07,1091,2456,2679496,12669,4372,55388868,32779,4796,157208084,63807,3064,195504648,5646,5152,29088192,16216,4848,78615168,38729,4580,177378820,91546,4220,386324120,31783,1336,42462088,13382,2160,28905120,74,2164,160136,1153714740
40,2012-08,1066,2456,2618096,12686,4372,55463192,32664,4796,156656544,63871,3064,195700744,5708,5152,29407616,16180,4848,78440640,38468,4580,176183440,90985,4220,383956700,31811,1336,42499496,13482,2160,29121120,85,2164,183940,1150231528
