,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,869,2312,2009128,2734,4012,10968808,14430,6632,95699760,20914,3412,71358568,1436,3600,5169600,2796,3948,11038608,8462,6296,53276752,18045,3112,56156040,11320,1384,15666880,3199,1872,5988528,1,1108,1108,327333780
70,2010-02,868,2312,2006816,2880,4012,11554560,14288,6632,94758016,20543,3412,70092716,1400,3600,5040000,2782,3948,10983336,8655,6296,54491880,18180,3112,56576160,11286,1384,15619824,3202,1872,5994144,1,1108,1108,327118560
69,2010-03,897,2312,2073864,2910,4012,11674920,14280,6632,94704960,20632,3412,70396384,1393,3600,5014800,2784,3948,10991232,8620,6296,54271520,18270,3112,56856240,11595,1384,16047480,3187,1872,5966064,1,1108,1108,327998572
68,2010-04,1230,2392,2942160,3450,4156,14338200,14209,6072,86277048,20672,3160,65323520,1389,3640,5055960,2795,3872,10822240,8841,5036,44523276,18364,3352,61556128,12425,1444,17941700,3257,1968,6409776,2,3684,7368,315197376
67,2010-05,1255,2392,3001960,3255,4156,13527780,14293,6072,86787096,21364,3160,67510240,1407,3640,5121480,2811,3872,10884192,8944,5036,45041984,18472,3352,61918144,13157,1444,18998708,3342,1968,6577056,2,3684,7368,319376008
66,2010-06,1250,2392,2990000,3289,4156,13669084,14473,6072,87880056,21825,3160,68967000,1402,3640,5103280,2875,3872,11132000,8914,5036,44890904,18342,3352,61482384,13892,1444,20060048,3351,1968,6594768,2,3684,7368,322776892
65,2010-07,1125,2368,2664000,3410,3996,13626360,14460,6556,94799760,21222,3096,65703312,1412,3436,4851632,2948,3896,11485408,8755,5196,45490980,18172,3448,62657056,14371,1496,21499016,3393,1916,6500988,2,4844,9688,329288200
64,2010-08,1105,2368,2616640,3433,3996,13718268,14512,6556,95140672,21239,3096,65755944,1402,3436,4817272,2935,3896,11434760,8644,5196,44914224,18183,3448,62694984,14358,1496,21479568,3384,1916,6483744,2,4844,9688,329065764
63,2010-09,1077,2368,2550336,3369,3996,13462524,14379,6556,94268724,21417,3096,66307032,1356,3436,4659216,2850,3896,11103600,8750,5196,45465000,18533,3448,63901784,13581,1496,20317176,3320,1916,6361120,2,4844,9688,328406200
62,2010-10,919,3028,2782732,3462,4372,15135864,14300,6732,96267600,21534,3188,68650392,1352,4060,5489120,2831,4452,12603612,8756,5916,51800496,18701,3732,69792132,13038,1548,20182824,3307,2068,6838876,5,3008,15040,349558688
61,2010-11,884,3028,2676752,3493,4372,15271396,14315,6732,96368580,21938,3188,69938344,1350,4060,5481000,2826,4452,12581352,8741,5916,51711756,18777,3732,70075764,12575,1548,19466100,3267,2068,6756156,4,3008,12032,350339232
60,2010-12,867,3028,2625276,3410,4372,14908520,14398,6732,96927336,22174,3188,70690712,1345,4060,5460700,2835,4452,12621420,8932,5916,52841712,18878,3732,70452696,12292,1548,19028016,3330,2068,6886440,4,3008,12032,352454860
59,2011-01,915,2568,2349720,3142,3896,12241232,14369,7096,101962424,21184,3424,72534016,1302,3724,4848648,2758,4408,12157264,8657,6744,58382808,18642,3168,59057856,11790,1428,16836120,3227,1864,6015128,6,1780,10680,346395896
58,2011-02,938,2568,2408784,3206,3896,12490576,14326,7096,101657296,20872,3424,71465728,1285,3724,4785340,2745,4408,12099960,8805,6744,59380920,19038,3168,60312384,11810,1428,16864680,3174,1864,5916336,6,1780,10680,347392684
57,2011-03,963,2568,2472984,3370,3896,13129520,14269,7096,101252824,20866,3424,71445184,1273,3724,4740652,2751,4408,12126408,8570,6744,57796080,19226,3168,60907968,12082,1428,17253096,3228,1864,6016992,7,1780,12460,347154168
56,2011-04,1750,1972,3451000,3786,4044,15310584,14276,6116,87312016,21273,3080,65520840,1274,3884,4948216,2788,4060,11319280,8739,5268,46037052,19331,3384,65416104,13028,1452,18916656,3287,1984,6521408,10,1628,16280,324769436
55,2011-05,1772,1972,3494384,3613,4044,14610972,14311,6116,87526076,21608,3080,66552640,1277,3884,4959868,2812,4060,11416720,8823,5268,46479564,19296,3384,65297664,13617,1452,19771884,3292,1984,6531328,10,1628,16280,326657380
54,2011-06,1767,1972,3484524,3672,4044,14849568,14590,6116,89232440,22027,3080,67843160,1267,3884,4921028,2864,4060,11627840,8821,5268,46469028,19156,3384,64823904,14288,1452,20746176,3309,1984,6565056,7,1628,11396,330574120
53,2011-07,1280,2452,3138560,3605,4104,14794920,14545,6740,98033300,21315,3184,67866960,1270,3864,4907280,2906,4120,11972720,8465,5424,45914160,18791,3556,66820796,14832,1532,22722624,3299,2060,6795940,23,1420,32660,342999920
52,2011-08,1262,2452,3094424,3697,4104,15172488,14530,6740,97932200,21232,3184,67602688,1274,3864,4922736,2907,4120,11976840,8320,5424,45127680,18590,3556,66106040,14738,1532,22578616,3273,2060,6742380,22,1420,31240,341287332
51,2011-09,1242,2452,3045384,3622,4104,14864688,14058,6740,94750920,21504,3184,68468736,1248,3864,4822272,2803,4120,11548360,8571,5424,46489104,18835,3556,66977260,13901,1532,21296332,3272,2060,6740320,22,1420,31240,339034616
50,2011-10,1086,2592,2814912,3966,4648,18433968,14034,7116,99865944,21452,3240,69504480,1219,3972,4841868,2761,4264,11772904,8565,5292,45325980,18902,3700,69937400,13304,1492,19849568,3296,2060,6789760,23,1172,26956,349163740
49,2011-11,1068,2592,2768256,3592,4648,16695616,13870,7116,98698920,21772,3240,70541280,1233,3972,4897476,2772,4264,11819808,8735,5292,46225620,19051,3700,70488700,13178,1492,19661576,3302,2060,6802120,22,1172,25784,348625156
48,2011-12,1001,2592,2594592,3451,4648,16040248,13778,7116,98044248,22131,3240,71704440,1211,3972,4810092,2730,4264,11640720,8693,5292,46003356,19173,3700,70940100,12938,1492,19303496,3325,2060,6849500,26,1172,30472,347961264
47,2012-01,1005,2508,2520540,3190,4356,13895640,13871,8056,111744776,21605,3436,74234780,1218,3908,4759944,2712,4836,13115232,8333,6168,51397944,18837,3444,64874628,12362,1512,18691344,3247,2008,6519976,11,1468,16148,361770952
46,2012-02,1016,2508,2548128,3086,4356,13442616,13777,8056,110987512,21151,3436,72674836,1198,3908,4681784,2700,4836,13057200,8390,6168,51749520,19117,3444,65838948,12354,1512,18679248,3240,2008,6505920,11,1468,16148,360181860
45,2012-03,1081,2508,2711148,3183,4356,13865148,13749,8056,110761944,21269,3436,73080284,1207,3908,4716956,2690,4836,13008840,8410,6168,51872880,19175,3444,66038700,12480,1512,18869760,3271,2008,6568168,11,1468,16148,361509976
