,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,,,,,,,2362,6144,14512128,4945,2300,11373500,605,4292,2596660,1452,3760,5459520,4420,4076,18015920,5382,2456,13218192,5486,1420,7790120,1496,1840,2752640,,,,
70,2010-02,,,,,,,2363,6144,14518272,4871,2300,11203300,604,4292,2592368,1454,3760,5467040,4419,4076,18011844,5437,2456,13353272,5604,1420,7957680,1506,1840,2771040,,,,
69,2010-03,,,,,,,2368,6144,14548992,4909,2300,11290700,605,4292,2596660,1466,3760,5512160,4495,4076,18321620,5504,2456,13517824,5744,1420,8156480,1535,1840,2824400,,,,
68,2010-04,233.0,1964.0,457612.0,1444.0,3188.0,4603472.0,2389,5256,12556584,5129,2312,11858248,605,4320,2613600,1522,3396,5168712,4662,4264,19878768,5532,2676,14803632,6741,1480,9976680,1569,1924,3018756,,,,
67,2010-05,263.0,1964.0,516532.0,1535.0,3188.0,4893580.0,2404,5256,12635424,5244,2312,12124128,604,4320,2609280,1536,3396,5216256,4703,4264,20053592,5432,2676,14536032,7818,1480,11570640,1655,1924,3184220,,,,
66,2010-06,269.0,1964.0,528316.0,1512.0,3188.0,4820256.0,2446,5256,12856176,5534,2312,12794608,602,4320,2600640,1581,3396,5369076,4806,4264,20492784,5389,2676,14420964,9164,1480,13562720,1756,1924,3378544,,,,
65,2010-07,278.0,1944.0,540432.0,1543.0,3300.0,5091900.0,2439,5824,14204736,5462,2412,13174344,608,4448,2704384,1618,3576,5785968,4792,4376,20969792,5286,2672,14124192,9967,1636,16306012,1877,1940,3641380,,,,
64,2010-08,265.0,1944.0,515160.0,1517.0,3300.0,5006100.0,2406,5824,14012544,5489,2412,13239468,607,4448,2699936,1598,3576,5714448,4763,4376,20842888,5283,2672,14116176,9932,1636,16248752,1859,1940,3606460,,,,
63,2010-09,279.0,1944.0,542376.0,1449.0,3300.0,4781700.0,2408,5824,14024192,5473,2412,13200876,594,4448,2642112,1583,3576,5660808,4674,4376,20453424,5443,2672,14543696,9202,1636,15054472,1779,1940,3451260,,,,
62,2010-10,,,,,,,2394,6040,14459760,5372,2672,14353984,594,4648,2760912,1592,4584,7297728,4655,4980,23181900,5710,2912,16627520,7847,1632,12806304,1660,2140,3552400,,,,
61,2010-11,,,,,,,2370,6040,14314800,5403,2672,14436816,608,4648,2825984,1578,4584,7233552,4604,4980,22927920,5705,2912,16612960,7058,1632,11518656,1778,2140,3804920,,,,
60,2010-12,,,,,,,2363,6040,14272520,5346,2672,14284512,608,4648,2825984,1593,4584,7302312,4576,4980,22788480,5736,2912,16703232,6743,1632,11004576,1685,2140,3605900,,,,
59,2011-01,,,,,,,2304,6216,14321664,4922,2336,11497792,609,4464,2718576,1504,4000,6016000,4429,4384,19416736,5716,2476,14152816,5612,1504,8440448,1520,1820,2766400,,,,
58,2011-02,,,,,,,2271,6216,14116536,4868,2336,11371648,609,4464,2718576,1506,4000,6024000,4283,4384,18776672,5678,2476,14058728,5656,1504,8506624,1554,1820,2828280,,,,
