,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,,,,9256,3076,28471456,,,,47573,2376,113033448,4392,4088,17954496,16361,5136,84030096,26701,3952,105522352,45336,2876,130386336,22926,1236,28336536,6876,2004,13779504,1.0,1292.0,1292.0,
70,2010-02,,,,9075,3076,27914700,,,,46138,2376,109623888,4404,4088,18003552,16393,5136,84194448,26655,3952,105340560,45365,2876,130469740,22898,1236,28301928,6819,2004,13665276,1.0,1292.0,1292.0,
69,2010-03,,,,9073,3076,27908548,,,,46150,2376,109652400,4421,4088,18073048,16447,5136,84471792,26665,3952,105380080,45398,2876,130564648,23277,1236,28770372,6844,2004,13715376,1.0,1292.0,1292.0,
68,2010-04,,,,9853,3120,30741360,,,,46329,2400,111189600,4446,3760,16716960,16508,4132,68211056,27159,3904,106028736,45404,3052,138573008,26595,1228,32658660,6898,2096,14458208,0.0,0.0,0.0,
67,2010-05,,,,10520,3120,32822400,,,,47612,2400,114268800,4516,3760,16980160,16650,4132,68797800,27479,3904,107278016,45449,3052,138710348,30290,1228,37196120,7070,2096,14818720,0.0,0.0,0.0,
66,2010-06,,,,10834,3120,33802080,,,,48935,2400,117444000,4508,3760,16950080,16751,4132,69215132,27750,3904,108336000,45290,3052,138225080,34142,1228,41926376,7174,2096,15036704,0.0,0.0,0.0,
65,2010-07,,,,11040,3200,35328000,,,,49760,2448,121812480,4599,3700,17016300,17126,4148,71038648,28295,3776,106841920,44962,3208,144238096,37962,1424,54057888,7407,2136,15821352,,,,
64,2010-08,,,,11078,3200,35449600,,,,50063,2448,122554224,4553,3700,16846100,17122,4148,71022056,28402,3776,107245952,44791,3208,143689528,37955,1424,54047920,7339,2136,15676104,,,,
63,2010-09,,,,11006,3200,35219200,,,,48413,2448,118515024,4492,3700,16620400,16844,4148,69868912,27970,3776,105614720,45315,3208,145370520,33173,1424,47238352,7131,2136,15231816,,,,
62,2010-10,,,,10997,3668,40336996,,,,49197,2580,126928260,4539,3920,17792880,16706,4800,80188800,28099,4532,127344668,45547,3572,162693884,29884,1440,43032960,7066,2320,16393120,,,,
61,2010-11,,,,10887,3668,39933516,,,,50486,2580,130253880,4516,3920,17702720,16639,4800,79867200,28112,4532,127403584,45629,3572,162986788,27150,1440,39096000,7061,2320,16381520,,,,
60,2010-12,,,,10480,3668,38440640,,,,51277,2580,132294660,4520,3920,17718400,16739,4800,80347200,27846,4532,126198072,45565,3572,162758180,26140,1440,37641600,6985,2320,16205200,,,,
59,2011-01,,,,9571,3152,30167792,,,,47421,2516,119311236,3814,3528,13455792,16967,5656,95965352,27288,4044,110352672,44894,3020,135579880,23089,1264,29184496,6937,2124,14734188,1.0,2240.0,2240.0,
58,2011-02,,,,9383,3152,29575216,,,,45980,2516,115685680,3814,3528,13455792,16852,5656,95314912,27590,4044,111573960,45080,3020,136141600,23268,1264,29410752,7013,2124,14895612,1.0,2240.0,2240.0,
57,2011-03,,,,9385,3152,29581520,,,,45807,2516,115250412,3788,3528,13364064,16952,5656,95880512,27605,4044,111634620,45456,3020,137277120,24035,1264,30380240,7089,2124,15057036,1.0,2240.0,2240.0,
56,2011-04,,,,10091,3196,32250836,,,,46411,2412,111943332,3765,3496,13162440,16940,4312,73045280,28376,3904,110779904,45874,3284,150650216,26471,1256,33247576,7157,2156,15430492,1.0,3376.0,3376.0,
55,2011-05,,,,10792,3196,34491232,,,,47404,2412,114338448,3778,3496,13207888,17055,4312,73541160,28493,3904,111236672,45903,3284,150745452,30264,1256,38011584,7429,2156,16016924,1.0,3376.0,3376.0,
54,2011-06,,,,11371,3196,36341716,,,,48878,2412,117893736,3829,3496,13386184,17279,4312,74507048,29140,3904,113762560,45740,3284,150210160,34464,1256,43286784,7582,2156,16346792,2.0,3376.0,6752.0,
53,2011-07,,,,11618,3356,38990008,,,,49964,2532,126508848,3850,3556,13690600,17517,4384,76794528,29366,3956,116171896,45780,3272,149792160,38860,1448,56269280,7642,2220,16965240,,,,
52,2011-08,,,,11651,3356,39100756,,,,50352,2532,127491264,3844,3556,13669264,17528,4384,76842752,29503,3956,116713868,45683,3272,149474776,38745,1448,56102760,7589,2220,16847580,,,,
51,2011-09,,,,11507,3356,38617492,,,,48998,2532,124062936,3809,3556,13544804,17189,4384,75356576,29134,3956,115254104,46294,3272,151473968,34002,1448,49234896,7371,2220,16363620,,,,
50,2011-10,,,,11505,3656,42062280,,,,49452,2508,124025616,3812,3640,13875680,17097,4828,82544316,29080,4520,131441600,46567,3516,163729572,30257,1420,42964940,7328,2288,16766464,,,,
49,2011-11,,,,11255,3656,41148280,,,,50813,2508,127439004,3785,3640,13777400,17064,4828,82384992,28993,4520,131048360,46646,3516,164007336,27079,1420,38452180,7212,2288,16501056,,,,
48,2011-12,,,,10941,3656,40000296,,,,51319,2508,128708052,3767,3640,13711880,17146,4828,82780888,28690,4520,129678800,46680,3516,164126880,26102,1420,37064840,7185,2288,16439280,,,,
47,2012-01,,,,10110,3332,33686520,,,,47824,2612,124916288,3680,3724,13704320,16627,5860,97434220,28555,4292,122558060,46198,3180,146909640,23717,1348,31970516,7048,2120,14941760,,,,
46,2012-02,,,,9927,3332,33076764,,,,46506,2612,121473672,3682,3724,13711768,16596,5860,97252560,28451,4292,122111692,46373,3180,147466140,23927,1348,32253596,7044,2120,14933280,,,,
45,2012-03,,,,10067,3332,33543244,,,,46163,2612,120577756,3647,3724,13581428,16594,5860,97240840,28525,4292,122429300,46324,3180,147310320,24465,1348,32978820,7101,2120,15054120,,,,
44,2012-04,,,,10905,3260,35550300,,,,46649,2480,115689520,3639,3588,13056732,16700,4436,74081200,29212,4072,118951264,46492,3268,151935856,27464,1276,35044064,7234,2172,15712248,0.0,1024.0,0.0,
43,2012-05,,,,11459,3260,37356340,,,,47761,2480,118447280,3634,3588,13038792,16850,4436,74746600,29411,4072,119761592,46650,3268,152452200,31457,1276,40139132,7361,2172,15988092,1.0,1024.0,1024.0,
42,2012-06,,,,11793,3260,38445180,,,,49477,2480,122702960,3625,3588,13006500,17043,4436,75602748,30305,4072,123401960,46587,3268,152246316,36303,1276,46322628,7497,2172,16283484,1.0,1024.0,1024.0,
41,2012-07,,,,11956,3332,39837392,,,,50192,2500,125480000,3638,3540,12878520,17192,4320,74269440,30347,3944,119688568,46274,3268,151223432,39249,1436,56361564,7599,2168,16474632,2.0,1884.0,3768.0,
40,2012-08,,,,12052,3332,40157264,,,,50200,2500,125500000,3579,3540,12669660,17104,4320,73889280,30405,3944,119917320,46316,3268,151360688,39075,1436,56111700,7565,2168,16400920,2.0,1884.0,3768.0,
39,2012-09,,,,11826,3332,39404232,,,,48917,2500,122292500,3541,3540,12535140,16797,4320,72563040,30173,3944,119002312,46762,3268,152818216,34360,1436,49340960,7207,2168,15624776,2.0,1884.0,3768.0,
38,2012-10,,,,11660,3740,43608400,,,,49440,2556,126368640,3531,3668,12951708,16676,5204,86781904,30053,4664,140167192,47098,3620,170494760,30341,1488,45147408,7242,2344,16975248,1.0,4180.0,4180.0,
37,2012-11,,,,11427,3740,42736980,,,,50961,2556,130256316,3556,3668,13043408,16625,5204,86516500,29797,4664,138973208,47103,3620,170512860,27037,1488,40231056,7211,2344,16902584,2.0,4180.0,8360.0,
