,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
71,2010-01,960.0,2476.0,2376960.0,,,,52104.0,3932.0,204872928.0,123047,2408,296297176,12494.0,3792.0,47377248.0,34321.0,3612.0,123967452.0,93599,3640,340700360,87743.0,2868.0,251646924.0,73704.0,1148.0,84612192.0,,,,,,,
70,2010-02,950.0,2476.0,2352200.0,,,,52040.0,3932.0,204621280.0,121615,2408,292848920,12282.0,3792.0,46573344.0,34225.0,3612.0,123620700.0,93049,3640,338698360,87987.0,2868.0,252346716.0,74617.0,1148.0,85660316.0,,,,,,,
69,2010-03,1064.0,2476.0,2634464.0,,,,52083.0,3932.0,204790356.0,122536,2408,295066688,12336.0,3792.0,46778112.0,34231.0,3612.0,123642372.0,93225,3640,339339000,88909.0,2868.0,254991012.0,77968.0,1148.0,89507264.0,,,,,,,
68,2010-04,1135.0,2444.0,2773940.0,,,,52045.0,4280.0,222752600.0,123553,2508,309870924,12225.0,3628.0,44352300.0,34442.0,3448.0,118756016.0,94187,3732,351505884,,,,83330.0,1168.0,97329440.0,21881.0,1952.0,42711712.0,,,,
67,2010-05,1142.0,2444.0,2791048.0,,,,52073.0,4280.0,222872440.0,124940,2508,313349520,12270.0,3628.0,44515560.0,34440.0,3448.0,118749120.0,92922,3732,346784904,,,,86774.0,1168.0,101352032.0,22136.0,1952.0,43209472.0,,,,
66,2010-06,1153.0,2444.0,2817932.0,,,,51761.0,4280.0,221537080.0,125422,2508,314558376,12256.0,3628.0,44464768.0,35341.0,3448.0,121855768.0,93760,3732,349912320,,,,91108.0,1168.0,106414144.0,22177.0,1952.0,43289504.0,,,,
65,2010-07,1092.0,2184.0,2384928.0,,,,51628.0,4004.0,206718512.0,125584,2528,317476352,12104.0,3812.0,46140448.0,35576.0,3444.0,122523744.0,95321,3652,348112292,,,,91562.0,1232.0,112804384.0,,,,1.0,1228.0,1228.0,
64,2010-08,1051.0,2184.0,2295384.0,,,,51625.0,4004.0,206706500.0,125722,2528,317825216,12030.0,3812.0,45858360.0,35580.0,3444.0,122537520.0,95455,3652,348601660,,,,90688.0,1232.0,111727616.0,,,,2.0,1228.0,2456.0,
63,2010-09,1054.0,2184.0,2301936.0,,,,51730.0,4004.0,207126920.0,124175,2528,313914400,11822.0,3812.0,45065464.0,35046.0,3444.0,120698424.0,95222,3652,347750744,,,,85901.0,1232.0,105830032.0,,,,12.0,1228.0,14736.0,
62,2010-10,1099.0,2632.0,2892568.0,,,,51719.0,4484.0,231907996.0,125701,2684,337381484,11697.0,4152.0,48565944.0,34490.0,4044.0,139477560.0,95811,4268,408921348,,,,82772.0,1280.0,105948160.0,,,,0.0,0.0,0.0,
61,2010-11,1072.0,2632.0,2821504.0,,,,51730.0,4484.0,231957320.0,127997,2684,343543948,11739.0,4152.0,48740328.0,34368.0,4044.0,138984192.0,96201,4268,410585868,,,,79141.0,1280.0,101300480.0,,,,0.0,0.0,0.0,
60,2010-12,1008.0,2632.0,2653056.0,,,,51637.0,4484.0,231540308.0,129488,2684,347545792,11598.0,4152.0,48154896.0,34368.0,4044.0,138984192.0,95365,4268,407017820,,,,78689.0,1280.0,100721920.0,,,,0.0,0.0,0.0,
59,2011-01,909.0,2376.0,2159784.0,,,,50649.0,4196.0,212523204.0,123177,2544,313362288,11303.0,4020.0,45438060.0,33915.0,4092.0,138780180.0,92141,3736,344238776,90147.0,3052.0,275128644.0,73668.0,1176.0,86633568.0,,,,,,,
58,2011-02,930.0,2376.0,2209680.0,,,,50520.0,4196.0,211981920.0,122160,2544,310775040,11198.0,4020.0,45015960.0,34008.0,4092.0,139160736.0,92151,3736,344276136,90954.0,3052.0,277591608.0,74586.0,1176.0,87713136.0,,,,,,,
