,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
71,2010-01,66,2032,134112,981,2432,2385792,627,2564,1607628,3492,1836,6411312,117,2528,295776,1002,2496,2500992,932,2512,2341184,2004,2728,5466912,4556,1272,5795232,647,1716,1110252,28049192
70,2010-02,65,2032,132080,945,2432,2298240,641,2564,1643524,3373,1836,6192828,113,2528,285664,987,2496,2463552,912,2512,2290944,1998,2728,5450544,4474,1272,5690928,634,1716,1087944,27536248
69,2010-03,66,2032,134112,1002,2432,2436864,662,2564,1697368,3512,1836,6448032,110,2528,278080,1012,2496,2525952,969,2512,2434128,2017,2728,5502376,5304,1272,6746688,645,1716,1106820,29310420
68,2010-04,66,1940,128040,1061,2536,2690696,745,2572,1916140,3801,1876,7130676,114,2588,295032,1052,2284,2402768,1069,2364,2527116,2057,2712,5578584,7087,1256,8901272,692,1776,1228992,32799316
67,2010-05,74,1940,143560,1120,2536,2840320,759,2572,1952148,4069,1876,7633444,116,2588,300208,1107,2284,2528388,1124,2364,2657136,2175,2712,5898600,9082,1256,11406992,732,1776,1300032,36660828
66,2010-06,76,1940,147440,1137,2536,2883432,765,2572,1967580,4526,1876,8490776,117,2588,302796,1306,2284,2982904,1392,2364,3290688,2147,2712,5822664,12121,1256,15223976,767,1776,1362192,42474448
65,2010-07,67,2116,141772,1127,2636,2970772,758,3096,2346768,4826,1904,9188704,122,3048,371856,1295,2300,2978500,1459,2384,3478256,2090,3104,6487360,13171,1572,20704812,745,1908,1421460,50090260
64,2010-08,69,2116,146004,1120,2636,2952320,757,3096,2343672,4776,1904,9093504,118,3048,359664,1278,2300,2939400,1436,2384,3423424,2081,3104,6459424,12964,1572,20379408,741,1908,1413828,49510648
63,2010-09,69,2116,146004,1076,2636,2836336,712,3096,2204352,4279,1904,8147216,116,3048,353568,1165,2300,2679500,1256,2384,2994304,2088,3104,6481152,10629,1572,16708788,719,1908,1371852,43923072
62,2010-10,75,2872,215400,1065,2908,3097020,689,3496,2408744,3811,2148,8186028,115,3100,356500,1045,2692,2813140,1072,3464,3713408,2054,3420,7024680,8084,1636,13225424,708,1876,1328208,42368552
