"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-01",,,,"0.00","  320","  320","6.9","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-02",,,,"0.00","  320","  320","14.1","34.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-03",,,,"0.01","  290","  290","28.0","45.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-04",,,,"0.00","  320","  320","10.1","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-05",,,,"0.00","  290","  290","8.9","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-06",,,,"0.00","  320","  320","10.1","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-07",,,,"0.00","  290","  300","8.9","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-08",,,,"0.06","  290","  290","11.0","27.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-09",,,,"0.00","  320","  320","12.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-10",,,,"0.00","  320","  320","10.1","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-11",,,,"0.00","  290","  290","8.9","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-12",,,,"0.00","  320","  320","8.9","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-13",,,,"0.00","  280","  320","10.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-14",,,,"0.00","  230","  210","8.9","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-15",,,,"0.00","  260","  290","10.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-16",,,,"0.00","  260","  260","12.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-17",,,,"1.23","   90","  350","17.9","38.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-18",,,,"0.24","  320","  340","10.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-19",,,,"0.00","  220","  200","8.1","14.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-20",,,,"0.00","  320","  320","8.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-21",,,,"0.00","   60","   60","8.1","17.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-22",,,,"0.00","   40","   40","14.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-23",,,,"0.00","   50","   50","11.0","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-24",,,,"0.00","  160","  170","17.0","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-25",,,,"0.93","  170","  170","27.1","46.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-26",,,,"0.06","  270","  270","14.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-27",,,,"0.00","  290","  290","11.0","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-28",,,,"0.00","  320","  320","16.1","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-29",,,,"0.00","  320","  320","16.1","33.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-30",,,,"0.30","   30","   30","11.0","25.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-01-31",,,,"0.00","  260","  320","8.9","21.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-01",,,,"0.00","  280","  300","10.1","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-02",,,,"0.03","   30","   40","4.9","13.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-03",,,,"0.30","  290","  320","8.1","17.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-04",,,,"0.00","  320","  320","11.0","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-05",,,,,"   70","   70","14.1","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-06",,"    2","2.84",,"   40","   40","33.1","48.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-07",,,,"0.00","  320","  320","8.9","21.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-08",,,,"0.00","  280","  290","12.1","23.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-09",,,,,"  290","  290","11.0","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-10",,"    2","1.66",,"  320","  320","33.1","40.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-11",,,,"0.04","  330","  330","17.0","36.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-12",,,,"0.00","  290","  300","10.1","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-13",,,,"0.00","  290","  290","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-14",,,,"0.00","  290","  290","19.9","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-15",,,,"0.12","  220","  330","8.9","19.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-16",,,,"0.01","  290","  290","15.0","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-17",,,,"0.00","  280","  290","12.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-18",,,,"0.00","   40","  300","12.1","29.1"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-19",,,,"0.00","  290","  290","16.1","32.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-20",,,,"0.00","  280","  290","11.0","23.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-21",,,,"0.00","  290","  290","10.1","25.9"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-22",,,,"0.19","   70","   70","12.1","19.0"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2010-02-23",,,,"1.10",,"   30",,"28.0"
