"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-01","6.71"," 1921"," 2320","0.03","0.0","0.0","  300","  310","23.0","30.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-02","21.47"," 1439"," 2101","0.00","0.0","0.0","  310","  290","33.1","47.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-03","19.91"," 1335"," 1212","0.00","0.0","0.0","  280","  290","34.9","47.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-04","12.75"," 1756"," 1123","0.00","0.0","0.0","  290","  280","21.9","31.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-05","12.30"," 1434"," 1805","0.00","0.0","0.0","  310","  280","21.9","30.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-06","13.42"," 1539"," 1539","0.00","0.0","0.0","  300","  310","25.1","34.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-07","6.04"," 1019"," 1019","0.01","0.1","0.0","  320","  320","17.0","23.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-08","9.62"," 1053"," 1034","0.07","1.7","2.0","  280","  290","25.9","36.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-09","9.17"," 0950"," 1109","0.00","0.0","0.0","  330","  320","19.9","28.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-10","8.50"," 1549"," 1353","0.00","0.0","0.0","  310","  320","15.0","21.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-11","4.70"," 1004"," 1004","0.00","0.0","0.0","  280","  290","14.1","17.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-12","9.84"," 1258"," 1205","0.00","0.0","0.0","  320","  310","17.0","23.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-13","4.92"," 1249"," 1307","0.00","0.0","0.0","  290","  270","17.0","23.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-14","1.79"," 1342"," 1356","0.00","0.0","0.0","  210","  190","10.1","12.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-15","5.37"," 1230"," 1240","0.00","0.0","0.0","  270","  270","21.9","28.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-16","2.91"," 1133"," 1152","0.00","0.0","0.0","  230","  230","16.1","19.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-17","8.05"," 1502"," 1603","0.75","0.0","0.0","   50","   40","19.9","23.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-18","6.49"," 1229"," 1220","0.00","0.0","0.0","  320","  320","17.9","23.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-19","3.58"," 1424"," 1424","0.00","0.0","0.0","  250","  250","16.1","28.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-20","4.03"," 1309"," 2058","0.07","0.1","0.0","  340","   20","12.1","16.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-21","5.82"," 1947"," 2332","0.07","0.0","0.0","  100","   40","13.0","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-22","6.04"," 1511"," 1405","0.06","0.0","0.0","   30","  340","12.1","17.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-23","3.80"," 0803"," 0802","0.00","0.0","0.0","   50","   40","12.1","15.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-24","5.82"," 2317"," 2229","0.41","0.0","0.0","  150","  150","21.0","31.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-25","11.86"," 0638"," 0525","0.53","0.0","0.0","  150","  180","28.0","44.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-26","10.51"," 1947"," 1938","0.00","0.0","0.0","  290","  280","23.9","33.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-27","6.71"," 1353"," 1352","0.00","0.0","0.0","  250","  260","17.0","23.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-28","9.17"," 1528"," 1543","0.00","0.0","0.0","  290","  260","31.1","42.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-29","9.40"," 0027"," 0026","0.00","0.0","0.0","  320","  320","17.9","25.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-30","6.93"," 0813"," 0848","0.24","5.0","0.0","   40","   20","15.0","21.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-01-31","5.82"," 1157"," 0843","0.00","0.0","5.0","  290","  350","13.0","16.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-01","5.14"," 1358"," 1301","0.00","0.0","4.0","  280","  280","16.1","19.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-02","4.03"," 1047"," 0914","0.25","4.0","3.0","   70","   20","10.1","15.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-03","5.59"," 1449"," 1334","0.08","1.0","6.0","  310","  330","17.9","25.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-04","4.47"," 1355"," 1050","0.00","0.0","1.0","  270","  340","12.1","21.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-05","6.93"," 2320"," 2321","0.97","9.0","0.0","   60","   70","29.1","36.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-06","12.75"," 0301"," 0301","1.58","16.0","19.0","   50","   40","25.9","34.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-07","7.38"," 1315"," 1323","0.00","0.0","23.0","  280","  320","14.1","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.1733","-76.684","47.5","2010-02-08","9.84"," 1135"," 1131","0.00","0.0","19.0","  290","  280","19.9","25.9"
