"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-01","7.61"," 2359"," 2344","0.00","0.0","  350","  350","15.0","19.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-02","15.43"," 2300"," 2300","0.43","6.4","  300","  300","30.0","38.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-03","20.80"," 0158"," 0456","0.20","3.7","  290","  280","31.1","40.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-04","15.66"," 0851"," 0808","0.00","0.0","  300","  290","23.0","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-05","10.07"," 2329"," 2328","0.00","0.0","  320","  320","17.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-06","13.20"," 1659"," 1659","0.00","0.0","  300","  300","23.0","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-07","13.20"," 1441"," 1440","0.00","0.0","  300","  300","23.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-08","8.28"," 2338"," 2123","0.01","0.2","  320","  310","16.1","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-09","14.76"," 1935"," 1954","0.00","0.0","  330","  320","23.0","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-10","11.41"," 1408"," 1403","0.00","0.0","  330","  340","17.9","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-11","10.51"," 2323"," 1801","0.00","0.0","  270","  280","17.0","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-12","13.42"," 1908"," 2044","0.00","0.0","  330","  340","25.1","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-13","12.97"," 0159"," 1915","0.00","0.0","  330","  300","21.0","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-14","6.49"," 2359"," 1933","0.00","0.0","  220","  220","13.0","16.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-15","12.08"," 1402"," 1854","0.00","0.0","  300","  240","21.9","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-16","10.51"," 1805"," 1820","0.00","0.0","  270","  280","17.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-17","9.17"," 2359"," 2334","0.43","0.0","   70","   90","25.9","31.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-18","18.79"," 0745"," 0509","0.71","1.9","   10","   20","36.0","46.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-19","4.03"," 2359"," 2228","0.30","0.8","  320","  310","10.1","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-20","9.17"," 1835"," 1844","0.00","0.0","  350","  290","21.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-21","9.62"," 0101"," 0029","0.00","0.0","  320","  330","16.1","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-22","9.84"," 1410"," 1421","0.00","0.0","   40","   30","25.1","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-23","6.49"," 1009"," 1008","0.00","0.0","   30","   20","13.0","16.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-24","5.59"," 1122",,"0.00","0.0","  230",,"14.1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-25","17.00"," 1746"," 1650","0.81","0.0","  190","  180","36.0","48.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-26","13.42"," 1139"," 1601","0.00","0.0","  240","  280","25.1","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-27","11.18"," 1514"," 1409","0.00","0.0","  280","  270","19.9","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-28","13.42"," 2318"," 2317","0.02","0.2","  280","  260","38.9","49.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-29","24.61"," 0119"," 0118","0.00","0.0","  300","  290","38.9","51.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-30","11.41"," 0041"," 0041","0.00","0.0","  290","  290","25.9","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-01-31","11.86"," 2352"," 1439","0.00","0.0","  260","  290","17.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-01","15.21"," 1633"," 1611","0.00","0.0","  260","  270","23.0","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-02","7.38"," 0104"," 0053","0.00","0.0","  270","  290","16.1","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-03","5.59"," 0452",,"0.02","0.4","  360",,"15.0",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-04","12.75"," 1023"," 1023","0.00","0.0","  320","  320","23.9","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-05","10.29"," 1243"," 1242","0.00","0.0","  290","  290","17.9","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-06","13.65"," 1457"," 1457","0.00","0.0","   30","   30","23.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-07","16.55"," 1845"," 1845","0.00","0.0","  300","  300","25.1","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-08","15.88"," 1828"," 0839","0.00","0.0","  290","  320","25.9","34.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-09","10.51"," 0133"," 0128","0.00","0.0","  300","  290","21.0","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-10","15.21"," 1829"," 1805","0.20","1.2","   40","   30","36.9","45.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-11","15.66"," 1605"," 0514","0.00","0.0","  330","  350","23.0","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-12","13.42"," 0258"," 0947","0.00","0.0","  320","  320","19.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-13","12.08"," 2213"," 2212","0.00","0.0","  300","  280","21.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-14","17.45"," 1425"," 2124","0.00","0.0","  290","  270","25.9","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-15","13.20"," 0045"," 1152","0.00","0.0","  270","  280","25.1","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-16","12.08"," 1629"," 1625","0.65","5.3","   20","   20","29.1","34.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-02-17","12.97"," 0050"," 0157","0.00","0.0","  300","  330","23.0","30.0"
