"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-01","3.13"," 0251"," 0048","0.03","0.3","2.0","   10","   20","8.1","12.1"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-02","15.21"," 1810"," 1223","0.06","1.2","2.0","  310","  330","25.9","34.9"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-03","18.12"," 0726"," 0831","0.07","2.0","2.0","  280","  310","28.0","36.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-04","11.63"," 1405"," 1808","0.00","0.0","4.0","  310","  320","19.9","23.9"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-05","11.63"," 1042"," 1100","0.00","0.0","3.0","  320","  310","21.0","30.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-06","9.62"," 1939"," 1938","0.00","0.0","2.0","  300","  310","21.9","28.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-07","8.28"," 1140"," 1139","0.00","0.0","2.0","  310","  300","21.9","36.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-08","5.59"," 1912"," 1826","0.06","1.2","2.0","  320","  320","17.9","28.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-09","10.51"," 1617"," 1615","0.00","0.0","3.0","  330","  350","21.0","28.0"
"USW00094702","IGOR I SIKORSKY MEMORI AIRPORT, CT US","41.1583","-73.1289","1.5","2010-01-10","5.82"," 1223"," 1223","0.00","0.0","3.0","  330","  320","17.9","23.9"
