"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-01","3.36"," 2355"," 2359","0.03","0.0","0.0","  290","  260","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-02","12.53"," 2349"," 2349","0.02","0.2","0.0","  270","  280","21.9","34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-03","14.32"," 1254"," 1055","0.00","0.0","0.0","  290","  310","25.9","38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-04","10.74"," 0249"," 1722","0.00","0.0","0.0","  290","  280","17.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-05","9.84"," 2206"," 1047","0.00","0.0","0.0","  290","  270","17.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-06","9.62"," 2141"," 2021","0.00","0.0","0.0","  290","  310","19.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-07","8.72"," 1150"," 1009","0.00","0.0","0.0","  290","  310","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-08","7.61"," 1805"," 1844","0.05","0.6","0.0","  290","  290","21.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-09","8.72"," 0825"," 0824","0.00","0.0","0.0","  300","  300","17.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-10","6.93"," 1750"," 1805","0.00","0.0","0.0","  290","  300","13.0","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-11","7.16"," 0511"," 1922","0.00","0.0","0.0","  270","  250","14.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-12","9.40"," 2125"," 2323","0.00","0.0","0.0","  290","  310","17.9","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-13","8.05"," 0441"," 0057","0.00","0.0","0.0","  290","  300","17.0","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-14","3.36"," 2237"," 2236","0.00","0.0","0.0","  240","  230","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-15","7.83"," 1553"," 1757","0.00","0.0","0.0","  290","  300","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-16","6.49"," 1106"," 1155","0.00","0.0","0.0","  270","  250","14.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-17","3.80"," 1121"," 1035","0.57","0.0","0.0","   70","   50","15.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-18",," 9999",,"0.05","0.0","0.0","  340",,"13.0",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-19",," 2002"," 1754","0.00","0.0","0.0","  270","  270","13.0","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-20","6.26"," 1623"," 1558","0.00","0.0","0.0","  290","  300","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-21","3.13"," 0935"," 0943","0.00","0.0","0.0","   40","   60","12.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-22","6.49"," 1356"," 1355","0.00","0.0","0.0","   40","   30","14.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-23","3.13"," 0310"," 0757","0.00","0.0","0.0","   40","   40","12.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-24","2.46"," 1141"," 1134","0.02","0.0","0.0","   80","   70","10.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-25",," 1438"," 1432","1.25","0.0","0.0","  150","  180","16.1","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-26","8.72"," 1419"," 1434","0.00","0.0","0.0","  270","  280","19.9","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-27","6.93"," 1535"," 1712","0.00","0.0","0.0","  270","  270","16.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-28","8.50"," 2050"," 2051","0.09","1.3","0.0","  290","  290","25.1","38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-29","11.63"," 1645"," 1645","0.00","0.0","0.0","  300","  300","23.0","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-30","8.95"," 0402"," 0401","0.00","0.0","0.0","  280","  290","17.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-01-31","6.26"," 2339"," 2003","0.00","0.0","0.0","  230","  270","12.1","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-01","8.05"," 0455"," 1014","0.00","0.0","0.0","  270","  290","16.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-02","4.25"," 0542"," 0021","0.03","0.8","0.0","  330","  230","10.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-03","5.14"," 2250"," 2249","0.06","0.2","1.0","  290","  290","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-04","8.95"," 0435"," 0407","0.00","0.0","0.0","  300","  300","17.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-05","4.70"," 2359"," 2358","0.00","0.0","0.0","   60","   50","17.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-06","13.65"," 0518"," 0519","0.00","0.0","0.0","   60","   50","29.1","36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-07","10.07"," 2100"," 1532","0.00","0.0","0.0","  290","  280","17.0","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-08","9.84"," 1358"," 1558","0.00","0.0","0.0","  300","  310","17.9","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-09","5.14"," 2130"," 0435","0.00","0.0","0.0","  250","  260","13.0","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-10","12.30"," 1324"," 2337","1.33","10.0","2.0","   40","  310","23.9","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-11","11.86"," 1236"," 0637","0.00","0.0","10.0","  290","  290","21.0","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-12","8.28"," 1050"," 0047","0.00","0.0","8.0","  290","  310","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-13","8.72"," 2045"," 2204","0.00","0.0","8.0","  280","  260","17.9","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-14","9.17"," 1218"," 1151","0.00","0.0","8.0","  270","  280","17.9","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-15","6.93"," 0402"," 0421","0.01","0.0","7.0","  250","  230","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-16","5.59"," 2217"," 2130","0.43","5.0","6.0","  270","  270","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-17","8.05"," 1731"," 2256","0.00","0.0","10.0","  270","  270","15.0","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-18","10.07"," 1004"," 1316","0.00","0.0","8.0","  300","  270","17.9","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-19","11.41"," 0257"," 0257","0.00","0.0","6.0","  270","  270","23.0","34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-20","8.05"," 1212"," 1247","0.00","0.0","4.0","  300","  280","17.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-21","9.62"," 1527"," 1749","0.00","0.0","3.0","  290","  300","17.0","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-22","6.04"," 2314"," 2314","0.03","0.0","0.0","  100","   50","14.1","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-23","14.09"," 1214"," 1658","1.20","0.0","0.0","   60","   60","25.9","40.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-24","7.83"," 0206"," 0133","0.42","0.0","0.0","   50","   30","23.9","32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-25","3.36"," 2032"," 2038","2.00","9.4","0.0","  270","  280","15.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-26","6.93"," 1648"," 1632","1.17","11.5","14.0","  290","  300","8.1","12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-27","4.47"," 2320"," 2320","0.01","0.0","21.0","  240","  240","12.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-02-28","3.80"," 2350"," 2349","0.00","0.0","15.0","  270","  290","12.1","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-01","9.84"," 0922"," 1329","0.00","0.0","11.0","  290","  300","21.0","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-02","5.37"," 2257"," 2359","0.01","0.0","7.0","   50","   60","14.1","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-03","10.51"," 0826"," 0825","0.07","0.0","4.0","   40","   30","21.0","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-04","7.83"," 2007"," 2009","0.00","0.0","0.0","   30","   30","17.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-05","7.61"," 1435"," 2233","0.00","0.0","0.0","  360","   70","14.1","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-06","7.16"," 2106"," 2254","0.00","0.0","0.0","  280","  300","14.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-07","7.16"," 1155"," 1155","0.00","0.0","0.0","  310","  310","16.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-08","7.16"," 1501"," 1501","0.00","0.0","0.0","  270","  280","17.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-09","4.47"," 1153"," 1324","0.00","0.0","0.0","  280","  330","15.0","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-10","4.92"," 0823"," 0822","0.00","0.0","0.0","   50","   60","12.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-11","8.95"," 1655"," 1652","0.00","0.0","0.0","   40","   60","17.9","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-12","13.87"," 2126"," 1849","0.21","0.0","0.0","   50","   70","25.1","40.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-13","22.82"," 1623"," 1545","3.86","0.0","0.0","   60","   60","36.9","53.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-03-14","13.65"," 0020"," 0200","0.24","0.0","0.0","   50","   60","30.0","42.9"
