"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-01","2.68"," 0135","0.02","  360","   10","8.1","10.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-02","11.41"," 1745","0.00","  320","  320","21.9","38.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-03","15.88"," 1553","0.00","  330","  330","25.1","38.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-04","10.29"," 1531","0.00","  320","  310","17.0","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-05","10.07"," 1752","0.00","  330","  290","16.1","23.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-06","9.17"," 1406","0.00","  320","  310","17.0","23.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-07","7.16"," 1227","0.00","  320","  320","17.0","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-08","5.14"," 2019","0.03","  320","  320","16.1","23.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-09","8.95"," 1502","0.00","  350","  350","19.9","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-10","7.38"," 1553","0.00","  320","  300","14.1","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-11","4.70"," 2319","0.00","  230","  290","8.9","14.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-12","8.95"," 1845","0.00","  330","  340","19.9","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-13","5.59"," 0058","0.00","  330","  330","17.0","23.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-14","2.68"," 1208","0.00","  170","  170","10.1","13.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-15","2.46"," 1445","0.00","  300","  300","12.1","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-16","3.36"," 1306","0.00","  220","  210","10.1","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-17","7.38"," 2350","0.41","   40","   40","21.0","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-18","14.54"," 0703","0.05","   10","  360","32.0","44.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-19","2.91"," 0836","0.02","  100","  110","10.1","14.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-20","6.71"," 1414","0.00","  330","  320","16.1","25.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-21","3.36"," 0152","0.00","  360","  360","12.1","15.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-22","8.95"," 1102","0.00","   20","   20","19.9","25.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-23","4.70"," 0402","0.00","   20","   20","13.0","17.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-24","3.80"," 1657","0.01","   90","  100","14.1","18.1"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-25","14.54"," 1317","0.86","  160","  160","38.0","53.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-26","6.49"," 1816","0.06","  250","  250","15.0","28.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-27","5.82"," 1345","0.00","  280","  210","14.1","21.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-28","8.50"," 1950","0.11","  300","  310","25.1","40.9"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-29","11.18"," 1305","0.00","  310","  300","21.0","32.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-30","9.62"," 0524","0.00","  360","  330","16.1","23.0"
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2010-01-31","7.61"," 0408","0.00","  360","  360","17.0","23.0"
