"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-01","8.28"," 2330"," 1949","0.08","0.5","2.0","   20","   20","15.0","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-02","14.99"," 2233"," 2221","0.29","3.7","4.0","  310","  310","29.1","40.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-03","15.66"," 0612"," 0211","0.12","3.4","8.0","  310","  310","30.0","45.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-04","13.20"," 0617"," 0557","0.00","0.0","8.0","  310","  320","21.9","32.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-05","8.95"," 1936"," 1926","0.00","0.0","7.0","  330","  340","17.0","23.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-06","7.83"," 1423"," 1233","0.00","0.0","7.0","  320","  290","15.0","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-07","7.61"," 1158"," 1157","0.00","0.0","6.0","  300","  290","17.0","21.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-08","4.92"," 2348"," 0150","0.00","0.1","6.0","  330","  210","14.1","23.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-09","10.74"," 1309"," 1211","0.00","0.0","6.0","  310","  310","21.0","25.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-10","3.80"," 1535"," 1546","0.00","0.0","6.0","  330","  320","10.1","13.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-11","2.68"," 1523"," 1259","0.00","0.0","6.0","  270","  280","8.1","13.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-12","7.61"," 1606"," 1634","0.00","0.0","6.0","  340","  350","23.0","30.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-13","4.92"," 1355"," 1310","0.00","0.0","6.0","  300","  330","16.1","19.9"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-14","3.80"," 2358"," 2358","0.00","0.0","6.0","  220","  220","13.0","17.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-15","7.61"," 1345",,"0.00","0.0","5.0","  230",,"13.0",
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-16","4.03"," 1149"," 1220","0.00","0.0","4.0","  280","  300","14.1","16.1"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-17","8.50"," 1314"," 0853","0.05","0.5","3.0","   80","  100","17.0","21.0"
"USW00014764","PORTLAND JETPORT, ME US","43.64222","-70.30444","13.7","2010-01-18","10.96"," 0940"," 0939","0.71","7.4","7.0","  360","  360","19.9","31.1"
