"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-01","4.47"," 2341"," 2359","0.01","0.1","1.0","  350","  340","13.0","17.0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-02","12.75"," 2242"," 2331","0.27","3.2","3.0","  290","  310","25.1","33.1"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-03","16.55"," 0045"," 0424","0.04","0.4","3.0","  290","  290","25.9","36.0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-04","11.18"," 0828"," 0827","0.00","0.0","2.0","  290","  290","21.9","32.0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-05","8.28"," 2335"," 2335","0.00","0.0","1.0","  310","  310","14.1","19.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-06","9.62"," 1745"," 1744","0.00","0.0","1.0","  310","  300","17.9","25.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-07","8.95"," 1425"," 1419","0.00","0.0","0.0","  310","  310","21.9","25.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-08","5.59"," 1845"," 1910","0.00","0.1","0.0","  350","  330","17.9","23.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-09","10.07"," 1421"," 1959","0.00","0.0","0.0","  350","  330","17.9","23.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-10","7.16"," 1100"," 1050","0.00","0.0","0.0","  350","  350","15.0","21.0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-11","6.49"," 1536"," 1502","0.00","0.0","0.0","  270","  260","14.1","17.0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-12","10.07"," 1737"," 2010","0.00","0.0","0.0","  300","  320","21.0","25.9"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2010-01-13","8.05"," 1011"," 1011","0.00","0.0","0.0","  310","  290","19.9","23.9"
