"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-01","9.40"," 2352","0.01","  330","  330","25.9","35.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-02","20.13"," 0616","0.00","  320","  320","32.0","40.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-03","17.67"," 0914","0.00","  290","  290","30.0","38.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-04","11.41"," 0130","0.00","  300","  320","21.0","30.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-05","9.84"," 0404","0.00","  290","  330","21.9","28.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-06","9.62"," 1237","0.00","  320","  320","21.9","31.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-07","6.71"," 0950","0.00","  340","  320","16.1","21.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-08","13.20"," 2350","0.03","  330","  340","25.9","36.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-09","12.53"," 0129","0.00","  330","  340","25.1","33.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-10","13.20"," 1240","0.00","  340","  340","25.1","32.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-11","6.93"," 1426","0.00","  240","  320","14.1","19.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-12","11.41"," 1450","0.30","  350","  320","21.0","25.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-13","8.28"," 0048","0.00","  330","  330","19.9","23.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-14","4.92"," 2252","0.00","  100","  190","8.9","12.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-15","4.47"," 1507","0.00","  260","  260","10.1","14.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-16","2.01"," 1438","0.00","  120","  110","8.9","10.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-17","11.86"," 1844","0.76","  230","  190","30.0","40.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-18","10.51"," 1029","0.00","  340","  320","23.0","31.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-19","7.16"," 1459","0.00","  230","  230","17.0","23.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-20","7.61"," 1047","0.09","   20","   10","15.0","18.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-21","12.30"," 2335","0.56","   70","   60","23.0","28.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-22","13.87"," 0503","0.10","   20","   30","23.9","33.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-23","9.17"," 0958","0.00","   40","   40","15.0","21.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-24","12.30"," 0209","0.00","   20","  330","47.0","93.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-25","16.33"," 0738","0.74","  260","  150","35.1","47.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-26","14.32"," 0213","0.00","  270","  260","25.9","36.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-27","6.04"," 0021","0.00","  280","  270","17.0","21.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-28","11.63"," 1402","0.00","  250","  250","30.0","36.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-29","14.09"," 0352","0.00","   10","   10","25.1","33.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-30","17.22"," 1619","0.25","   30","   20","29.1","36.0"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-01-31","11.18"," 0205","0.00","  350","  340","29.1","36.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-01","2.68"," 1153","0.00","  240","  340","8.9","25.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-02","6.26"," 1911","0.02","   90","   80","17.0","21.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-03","11.86"," 0329","0.17","  330","  340","25.1","33.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-04","8.72"," 0824","0.00","  360","  360","18.1","25.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-05","12.53"," 2218","1.25","   90","   80","31.1","40.9"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-06","23.26"," 1413","1.77","  340","  330","36.0","48.1"
"USW00013769","OCEANA NAS, VA US","36.81667","-76.03333","7.0","2010-02-07","10.51"," 1231","0.00","  330","  330","19.9","23.9"
