DATE,STATION,NAME,LATITUDE,LONGITUDE,PRCP,WSF2,WSF5
2010-01-01,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.08,15.0,19.9
2010-01-02,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.29,29.1,40.0
2010-01-03,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.12,30.0,45.0
2010-01-04,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.9,32.0
2010-01-05,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,17.0,23.9
2010-01-06,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,15.0,19.9
2010-01-07,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,17.0,21.0
2010-01-08,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,23.0
2010-01-09,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,21.0,25.9
2010-01-10,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,10.1,13.0
2010-01-11,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,8.1,13.0
2010-01-12,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,23.0,30.0
2010-01-13,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,16.1,19.9
2010-01-14,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,13.0,17.0
2010-01-15,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,13.0,
2010-01-16,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,14.1,16.1
2010-01-17,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.05,17.0,21.0
2010-01-18,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.71,19.9,31.1
2010-01-19,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.24,10.1,13.0
2010-01-20,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.04,16.1,21.0
2010-01-21,USW00014764,"PORTLAND JETPORT, ME US",43.64222,-70.30444,0.0,12.1,13.0
