DATE,STATION,NAME,LATITUDE,LONGITUDE,PRCP,WSF2,WSF5
2010-01-01,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.04,8.9,10.1
2010-01-02,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.15,21.0,33.1
2010-01-03,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,23.0,36.9
2010-01-04,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,18.1,30.0
2010-01-05,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,10.1,18.1
2010-01-06,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,16.1,25.1
2010-01-07,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,16.1,23.9
2010-01-08,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.02,15.0,21.9
2010-01-09,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,16.1,21.9
2010-01-10,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,21.0,25.9
2010-01-11,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,12.1,18.1
2010-01-12,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,18.1,25.9
2010-01-13,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,21.0,25.1
2010-01-14,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,8.9,10.1
2010-01-15,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,13.0,18.1
2010-01-16,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.0,19.9,29.1
2010-01-17,USW00014794,"WESTERLY STATE AIRPORT, RI US",41.34972,-71.79889,0.67,25.9,38.9
