Date,Time (GMT),Verified (ft),Verified (ft) Max
2010-01-01,05:48,-2.16,-2.16
2010-01-01,12:42,4.08,4.08
2010-01-01,19:00,-2.14,-2.14
2010-01-02,01:00,2.67,2.67
2010-01-02,06:36,-2.19,-2.19
2010-01-02,13:06,4.23,4.23
2010-01-02,19:48,-2.48,-2.48
2010-01-03,01:54,2.13,2.13
2010-01-03,07:54,-3.19,-3.19
2010-01-03,13:54,1.87,1.87
2010-01-03,20:18,-4.27,-4.27
2010-01-04,03:06,1.82,1.82
2010-01-04,08:42,-2.41,-2.41
2010-01-04,14:54,3.24,3.24
2010-01-04,21:12,-2.34,-2.34
2010-01-05,03:54,2.61,2.61
2010-01-05,09:48,-1.79,-1.79
2010-01-05,15:48,2.75,2.75
2010-01-05,22:24,-2.24,-2.24
2010-01-06,04:48,2.37,2.37
2010-01-06,10:42,-1.87,-1.87
2010-01-06,16:42,2.09,2.09
2010-01-06,23:24,-2.07,-2.07
2010-01-07,05:24,2.22,2.22
2010-01-07,11:30,-1.87,-1.87
2010-01-07,17:36,1.58,1.58
2010-01-08,00:12,-1.97,-1.97
2010-01-08,06:24,2.14,2.14
2010-01-08,12:54,-1.4,-1.4
2010-01-08,18:30,1.17,1.17
2010-01-09,01:06,-2.03,-2.03
2010-01-09,07:54,2.21,2.21
2010-01-09,14:12,-1.36,-1.36
2010-01-09,20:06,1.12,1.12
2010-01-10,01:54,-1.74,-1.74
2010-01-10,08:42,2.38,2.38
2010-01-10,15:18,-1.43,-1.43
2010-01-10,21:06,1.21,1.21
2010-01-11,02:42,-1.73,-1.73
2010-01-11,09:18,2.18,2.18
2010-01-11,15:54,-1.87,-1.87
2010-01-11,22:12,1.07,1.07
2010-01-12,03:42,-2.01,-2.01
2010-01-12,10:24,2.04,2.04
2010-01-12,16:30,-1.99,-1.99
2010-01-12,22:30,1.11,1.11
2010-01-13,04:00,-2.16,-2.16
2010-01-13,11:12,1.89,1.89
2010-01-13,17:06,-2.14,-2.14
2010-01-13,23:12,1.57,1.57
2010-01-14,05:12,-1.52,-1.52
2010-01-14,11:36,2.56,2.56
2010-01-14,18:18,-1.75,-1.75
2010-01-15,00:12,1.6,1.6
2010-01-15,06:00,-1.66,-1.66
2010-01-15,12:18,2.64,2.64
2010-01-15,18:48,-2.17,-2.17
2010-01-16,00:42,1.05,1.05
2010-01-16,06:30,-2.08,-2.08
2010-01-16,13:12,2.19,2.19
2010-01-16,19:18,-2.55,-2.55
2010-01-17,01:24,1.07,1.07
2010-01-17,07:00,-1.84,-1.84
2010-01-17,13:30,2.7,2.7
2010-01-17,19:12,-0.99,-0.99
2010-01-18,02:06,2.98,2.98
2010-01-18,08:24,-0.34,-0.34
2010-01-18,14:06,3.59,3.59
2010-01-18,20:18,-0.6,-0.6
2010-01-19,02:42,2.51,2.51
2010-01-19,08:18,-0.65,-0.65
2010-01-19,14:42,3.42,3.42
2010-01-19,20:54,-0.46,-0.46
2010-01-20,03:00,2.67,2.67
2010-01-20,09:24,-0.93,-0.93
2010-01-20,15:30,2.28,2.28
2010-01-20,21:42,-1.27,-1.27
2010-01-21,03:48,2.1,2.1
2010-01-21,10:06,-0.99,-0.99
2010-01-21,16:00,2.13,2.13
2010-01-21,21:48,-0.99,-0.99
2010-01-22,04:24,2.42,2.42
2010-01-22,10:54,-0.37,-0.37
2010-01-22,16:42,2.45,2.45
2010-01-22,22:48,-0.31,-0.31
2010-01-23,05:06,2.92,2.92
2010-01-23,11:36,-0.05,-0.05
2010-01-23,17:24,2.29,2.29
2010-01-23,23:42,-0.68,-0.68
2010-01-24,06:00,2.56,2.56
2010-01-24,12:36,-0.71,-0.71
2010-01-24,18:12,1.37,1.37
2010-01-25,00:48,-1.16,-1.16
2010-01-25,07:12,2.83,2.83
2010-01-25,13:24,0.03,0.03
2010-01-25,17:36,1.64,1.64
2010-01-26,00:48,-1.26,-1.26
2010-01-26,08:36,2.86,2.86
2010-01-26,16:12,-1.14,-1.14
2010-01-26,20:36,1.07,1.07
2010-01-27,02:48,-2.25,-2.25
2010-01-27,09:00,2.37,2.37
2010-01-27,15:48,-2.04,-2.04
2010-01-27,21:48,1.2,1.2
2010-01-28,03:42,-2.33,-2.33
2010-01-28,10:12,3.01,3.01
2010-01-28,17:18,-1.98,-1.98
2010-01-28,22:36,1.7,1.7
2010-01-29,04:30,-3.63,-3.63
2010-01-29,11:12,2.3,2.3
2010-01-29,18:06,-3.76,-3.76
2010-01-29,23:42,0.65,0.65
2010-01-30,05:54,-4.46,-4.46
2010-01-30,12:12,2.2,2.2
2010-01-30,18:24,-4.11,-4.11
2010-01-31,01:18,2.17,2.17
2010-01-31,06:30,-2.66,-2.66
2010-01-31,13:12,3.87,3.87
2010-01-31,19:42,-2.71,-2.71
2010-02-01,01:30,2.72,2.72
2010-02-01,07:36,-3.45,-3.45
2010-02-01,13:42,2.9,2.9
2010-02-01,19:54,-3.44,-3.44
2010-02-02,02:18,1.91,1.91
2010-02-02,08:24,-3.28,-3.28
2010-02-02,14:30,2.64,2.64
2010-02-02,21:06,-2.81,-2.81
2010-02-03,03:06,2.74,2.74
2010-02-03,09:24,-2.06,-2.06
2010-02-03,15:06,2.86,2.86
2010-02-03,21:42,-2.11,-2.11
2010-02-04,03:48,2.46,2.46
2010-02-04,10:24,-2.14,-2.14
2010-02-04,16:18,1.84,1.84
2010-02-04,22:36,-2.29,-2.29
2010-02-05,04:54,2.12,2.12
2010-02-05,11:00,-1.93,-1.93
2010-02-05,17:06,1.47,1.47
2010-02-05,23:12,-1.66,-1.66
2010-02-06,06:24,3.05,3.05
2010-02-06,11:12,0.58,0.58
2010-02-06,18:06,3.42,3.42
2010-02-07,01:12,0.26,0.26
2010-02-07,06:36,3.21,3.21
2010-02-07,13:18,-0.4,-0.4
2010-02-07,18:48,1.72,1.72
2010-02-08,01:36,-1.29,-1.29
2010-02-08,07:54,1.92,1.92
2010-02-08,14:36,-1.59,-1.59
2010-02-08,20:48,0.32,0.32
2010-02-09,02:24,-2.26,-2.26
2010-02-09,08:48,1.19,1.19
2010-02-09,15:36,-1.79,-1.79
2010-02-09,21:42,0.94,0.94
2010-02-10,03:12,-1.44,-1.44
2010-02-10,09:54,3.47,3.47
2010-02-10,16:42,0.41,0.41
2010-02-10,22:18,2.5,2.5
2010-02-11,04:24,-0.07,-0.07
2010-02-11,11:06,3.42,3.42
2010-02-11,16:48,-0.62,-0.62
2010-02-11,23:00,2.48,2.48
2010-02-12,04:54,-0.76,-0.76
2010-02-12,11:30,3.31,3.31
2010-02-12,18:00,-0.98,-0.98
2010-02-12,23:36,2.05,2.05
2010-02-13,05:48,-1.25,-1.25
2010-02-13,12:12,2.95,2.95
2010-02-13,18:12,-1.22,-1.22
2010-02-14,00:06,1.96,1.96
2010-02-14,06:12,-1.78,-1.78
