Date,Time (GMT),Verified (ft),Verified (ft) Max
2010-01-01,03:36,5.64,5.64
2010-01-01,09:48,-4.72,-4.72
2010-01-01,15:48,7.84,7.84
2010-01-01,22:24,-5.77,-5.77
2010-01-02,04:42,6.69,6.69
2010-01-02,10:42,-4.28,-4.28
2010-01-02,16:48,8.45,8.45
2010-01-02,23:18,-5.52,-5.52
2010-01-03,05:24,6.67,6.67
2010-01-03,11:36,-4.7,-4.7
2010-01-03,17:42,8.06,8.06
2010-01-04,00:06,-5.49,-5.49
2010-01-04,06:18,6.99,6.99
2010-01-04,12:30,-5.24,-5.24
2010-01-04,18:36,7.28,7.28
2010-01-05,01:00,-5.57,-5.57
2010-01-05,07:12,6.63,6.63
2010-01-05,13:24,-5.13,-5.13
2010-01-05,19:30,6.4,6.4
2010-01-06,01:48,-5.43,-5.43
2010-01-06,08:06,6.13,6.13
2010-01-06,14:18,-4.89,-4.89
2010-01-06,20:24,5.65,5.65
2010-01-07,02:54,-4.87,-4.87
2010-01-07,09:00,5.77,5.77
2010-01-07,15:24,-4.63,-4.63
2010-01-07,21:36,4.67,4.67
2010-01-08,03:42,-4.5,-4.5
2010-01-08,10:06,5.65,5.65
2010-01-08,16:30,-4.21,-4.21
2010-01-08,22:30,4.66,4.66
2010-01-09,04:48,-4.03,-4.03
2010-01-09,11:00,5.33,5.33
2010-01-09,17:24,-4.45,-4.45
2010-01-09,23:48,3.84,3.84
2010-01-10,05:42,-3.86,-3.86
2010-01-10,12:00,5,5.0
2010-01-10,18:30,-4.62,-4.62
2010-01-11,00:48,3.57,3.57
2010-01-11,06:42,-3.72,-3.72
2010-01-11,13:00,5.04,5.04
2010-01-11,19:30,-4.61,-4.61
2010-01-12,01:48,3.64,3.64
2010-01-12,07:42,-3.86,-3.86
2010-01-12,14:00,5.01,5.01
2010-01-12,20:24,-4.75,-4.75
2010-01-13,02:42,3.8,3.8
2010-01-13,08:36,-3.81,-3.81
2010-01-13,14:48,5.42,5.42
2010-01-13,21:12,-4.83,-4.83
2010-01-14,03:24,4.07,4.07
2010-01-14,09:18,-3.87,-3.87
2010-01-14,15:30,5.5,5.5
2010-01-14,21:54,-4.88,-4.88
2010-01-15,04:00,4.03,4.03
2010-01-15,10:00,-4.11,-4.11
2010-01-15,16:06,5.22,5.22
2010-01-15,22:30,-5.32,-5.32
2010-01-16,04:54,3.88,3.88
2010-01-16,10:36,-4.18,-4.18
2010-01-16,16:54,5.38,5.38
2010-01-16,22:54,-4.71,-4.71
2010-01-17,05:12,4.4,4.4
2010-01-17,11:24,-3.97,-3.97
2010-01-17,17:36,5.46,5.46
2010-01-17,23:36,-4.03,-4.03
2010-01-18,05:54,5.42,5.42
2010-01-18,11:54,-2.38,-2.38
2010-01-18,18:06,6.88,6.88
2010-01-19,00:18,-2.83,-2.83
