Date,Time (GMT),Verified (ft),Verified (ft) Max
2010-01-01,04:00,3.82,3.82
2010-01-01,09:54,-3.18,-3.18
2010-01-01,16:06,5.02,5.02
2010-01-01,22:36,-3.57,-3.57
2010-01-02,04:42,4.36,4.36
2010-01-02,10:48,-2.85,-2.85
2010-01-02,16:54,5.13,5.13
2010-01-02,23:42,-3.75,-3.75
2010-01-03,05:18,2.91,2.91
2010-01-03,11:42,-4.77,-4.77
2010-01-03,18:06,3.16,3.16
2010-01-04,00:18,-4.3,-4.3
2010-01-04,06:36,3.43,3.43
2010-01-04,12:48,-3.45,-3.45
2010-01-04,18:54,4.09,4.09
2010-01-05,01:12,-3.39,-3.39
2010-01-05,07:24,4.05,4.05
2010-01-05,13:36,-3.18,-3.18
2010-01-05,19:42,3.71,3.71
2010-01-06,02:06,-3.61,-3.61
2010-01-06,08:24,3.81,3.81
2010-01-06,14:36,-3.19,-3.19
2010-01-06,20:48,3.13,3.13
2010-01-07,03:06,-3.54,-3.54
2010-01-07,09:18,3.47,3.47
2010-01-07,15:48,-3.23,-3.23
2010-01-07,21:54,2.4,2.4
2010-01-08,04:00,-3.04,-3.04
2010-01-08,10:24,3.58,3.58
2010-01-08,16:48,-2.75,-2.75
2010-01-08,22:54,2.63,2.63
2010-01-09,05:00,-3,-3.0
2010-01-09,11:24,3,3.0
2010-01-09,17:54,-3.08,-3.08
2010-01-10,00:00,2.28,2.28
2010-01-10,06:12,-2.72,-2.72
2010-01-10,12:18,3.07,3.07
2010-01-10,18:42,-3.14,-3.14
2010-01-11,01:00,2.28,2.28
2010-01-11,07:00,-2.86,-2.86
2010-01-11,13:12,2.94,2.94
2010-01-11,19:42,-3.19,-3.19
2010-01-12,01:54,2.09,2.09
2010-01-12,08:00,-3.04,-3.04
2010-01-12,14:06,3.15,3.15
2010-01-12,20:42,-3.46,-3.46
2010-01-13,02:36,1.77,1.77
2010-01-13,08:48,-3.18,-3.18
2010-01-13,15:00,3.09,3.09
2010-01-13,21:18,-3.36,-3.36
2010-01-14,03:30,2.54,2.54
2010-01-14,09:24,-2.83,-2.83
2010-01-14,15:42,3.62,3.62
2010-01-14,22:06,-3.22,-3.22
2010-01-15,04:06,2.91,2.91
2010-01-15,10:06,-2.73,-2.73
2010-01-15,16:06,3.26,3.26
2010-01-15,22:42,-3.75,-3.75
2010-01-16,04:42,2.33,2.33
2010-01-16,10:30,-3.08,-3.08
2010-01-16,16:48,2.93,2.93
2010-01-16,23:00,-3.75,-3.75
2010-01-17,05:24,2.8,2.8
2010-01-17,11:12,-2.7,-2.7
2010-01-17,17:30,3.64,3.64
2010-01-17,23:42,-2.52,-2.52
2010-01-18,06:00,4.65,4.65
2010-01-18,12:24,-1.26,-1.26
2010-01-18,18:00,3.19,3.19
2010-01-18,23:54,-2.18,-2.18
2010-01-19,06:30,4.35,4.35
2010-01-19,12:30,-0.99,-0.99
2010-01-19,18:24,4.11,4.11
2010-01-20,00:48,-2.19,-2.19
2010-01-20,07:00,3.5,3.5
2010-01-20,13:06,-2.22,-2.22
2010-01-20,19:12,3,3.0
2010-01-21,01:36,-2.56,-2.56
2010-01-21,07:42,3.01,3.01
2010-01-21,13:48,-2.19,-2.19
2010-01-21,19:48,2.87,2.87
2010-01-22,02:00,-2.28,-2.28
2010-01-22,08:18,3.05,3.05
2010-01-22,14:30,-2.11,-2.11
2010-01-22,20:36,2.77,2.77
2010-01-23,02:36,-1.66,-1.66
2010-01-23,08:54,3.76,3.76
2010-01-23,15:24,-1.72,-1.72
2010-01-23,21:30,2.65,2.65
2010-01-24,03:36,-1.97,-1.97
2010-01-24,09:54,2.99,2.99
2010-01-24,16:30,-2.33,-2.33
2010-01-24,22:42,2.53,2.53
2010-01-25,04:36,-1.67,-1.67
2010-01-25,10:54,3.62,3.62
2010-01-25,17:06,-0.82,-0.82
2010-01-25,23:24,3.85,3.85
2010-01-26,05:42,-1.68,-1.68
2010-01-26,11:54,3.74,3.74
2010-01-26,18:24,-2.85,-2.85
2010-01-27,00:48,2.25,2.25
2010-01-27,06:42,-2.52,-2.52
2010-01-27,13:00,3.44,3.44
2010-01-27,19:36,-3.4,-3.4
2010-01-28,01:42,2.75,2.75
2010-01-28,07:42,-3.06,-3.06
2010-01-28,14:00,4.1,4.1
2010-01-28,20:30,-3.41,-3.41
2010-01-29,02:42,2.5,2.5
