Date,Time (GMT),Verified (ft),Verified (ft) Max
2010-01-01,06:24,-0.36,-0.36
2010-01-01,11:30,0.67,0.67
2010-01-01,17:06,-0.49,-0.49
2010-01-01,23:24,1.22,1.22
2010-01-02,08:18,-0.93,-0.93
2010-01-02,11:06,-0.59,-0.59
2010-01-02,19:18,-2.47,-2.47
2010-01-03,01:06,-1.61,-1.61
2010-01-03,07:24,-2.84,-2.84
2010-01-03,13:54,-1.88,-1.88
2010-01-03,20:30,-2.87,-2.87
2010-01-04,02:06,-1.42,-1.42
2010-01-04,08:54,-2.67,-2.67
2010-01-04,15:00,-1.81,-1.81
2010-01-04,19:36,-2.42,-2.42
2010-01-05,03:18,-0.42,-0.42
2010-01-05,09:18,-1.28,-1.28
2010-01-05,15:06,-0.34,-0.34
2010-01-05,21:36,-1.36,-1.36
2010-01-06,03:42,0.09,0.09
2010-01-06,09:54,-1.19,-1.19
2010-01-06,15:48,-0.13,-0.13
2010-01-06,23:00,-1.49,-1.49
2010-01-07,04:42,-0.39,-0.39
2010-01-07,10:36,-1.34,-1.34
2010-01-07,17:48,-0.08,-0.08
2010-01-07,23:00,-0.86,-0.86
2010-01-08,05:48,0.26,0.26
2010-01-08,11:24,-0.61,-0.61
2010-01-08,17:48,0.32,0.32
2010-01-09,02:42,-1.52,-1.52
2010-01-09,05:30,-1.08,-1.08
2010-01-09,13:00,-2.22,-2.22
2010-01-09,20:24,-0.94,-0.94
2010-01-10,01:18,-1.33,-1.33
2010-01-10,07:12,-0.56,-0.56
2010-01-10,13:42,-1.61,-1.61
2010-01-10,20:42,-0.2,-0.2
2010-01-11,02:12,-0.89,-0.89
2010-01-11,08:06,-0.33,-0.33
2010-01-11,14:12,-1.27,-1.27
2010-01-11,21:30,0.88,0.88
2010-01-12,04:36,-0.05,-0.05
2010-01-12,08:00,0.2,0.2
2010-01-12,16:06,-1.33,-1.33
2010-01-12,22:48,-0.13,-0.13
2010-01-13,05:24,-1.23,-1.23
2010-01-13,09:54,-0.9,-0.9
2010-01-13,15:42,-1.85,-1.85
2010-01-13,23:42,0.09,0.09
2010-01-14,04:54,-0.61,-0.61
2010-01-14,10:48,0.23,0.23
2010-01-14,16:24,-0.85,-0.85
2010-01-14,23:42,0.7,0.7
2010-01-15,06:36,-0.28,-0.28
2010-01-15,11:36,0.5,0.5
2010-01-15,16:54,-0.44,-0.44
2010-01-16,00:24,0.99,0.99
2010-01-16,07:30,-0.45,-0.45
2010-01-16,12:06,0.13,0.13
2010-01-16,18:06,-0.88,-0.88
2010-01-17,00:42,0.6,0.6
2010-01-17,08:00,-0.69,-0.69
2010-01-17,13:12,0.18,0.18
2010-01-17,19:00,-0.65,-0.65
2010-01-18,01:36,1,1.0
2010-01-18,07:36,0.16,0.16
2010-01-18,13:00,0.88,0.88
2010-01-18,20:18,-0.3,-0.3
2010-01-19,02:36,1.11,1.11
2010-01-19,08:12,0.56,0.56
2010-01-19,13:54,1.51,1.51
2010-01-19,20:30,0.63,0.63
2010-01-20,02:06,1.53,1.53
2010-01-20,09:18,0.13,0.13
2010-01-20,15:00,1.15,1.15
2010-01-20,21:24,0.48,0.48
2010-01-21,02:36,1.19,1.19
2010-01-21,09:54,-0.08,-0.08
2010-01-21,15:48,0.81,0.81
2010-01-21,21:48,0,0.0
2010-01-22,03:36,0.9,0.9
2010-01-22,09:48,-0.12,-0.12
2010-01-22,17:00,1.09,1.09
2010-01-22,22:54,0.64,0.64
2010-01-23,03:48,1.2,1.2
2010-01-23,10:00,0.49,0.49
2010-01-23,17:06,1.57,1.57
2010-01-24,00:06,0.84,0.84
2010-01-24,04:36,1.24,1.24
2010-01-24,11:00,0.26,0.26
2010-01-24,18:18,1.6,1.6
2010-01-25,00:30,0.88,0.88
2010-01-25,06:12,1.55,1.55
2010-01-25,09:06,1.42,1.42
2010-01-25,18:00,3.45,3.45
2010-01-26,13:24,-0.47,-0.47
2010-01-26,20:06,0.86,0.86
2010-01-27,04:18,-0.63,-0.63
2010-01-27,08:54,0.42,0.42
2010-01-27,15:00,-0.6,-0.6
2010-01-27,21:18,1.08,1.08
2010-01-28,04:30,-0.35,-0.35
2010-01-28,09:00,0.44,0.44
2010-01-28,15:18,-0.63,-0.63
2010-01-28,22:36,0.86,0.86
2010-01-29,15:18,-1.91,-1.91
2010-01-29,23:24,0.26,0.26
2010-01-30,06:18,-0.92,-0.92
2010-01-30,10:36,-0.33,-0.33
2010-01-30,17:18,-1.52,-1.52
2010-01-30,23:18,-0.23,-0.23
2010-01-31,06:30,-1.99,-1.99
2010-01-31,12:18,-0.86,-0.86
2010-01-31,17:42,-1.6,-1.6
2010-02-01,01:06,0.74,0.74
2010-02-01,07:12,-0.29,-0.29
2010-02-01,12:30,0.81,0.81
2010-02-01,19:54,-0.96,-0.96
2010-02-02,01:30,0.75,0.75
2010-02-02,08:18,-0.61,-0.61
2010-02-02,13:42,0.63,0.63
2010-02-02,20:42,-0.84,-0.84
2010-02-03,02:18,0.41,0.41
2010-02-03,09:00,-1.03,-1.03
2010-02-03,14:48,0.3,0.3
2010-02-03,21:00,-0.84,-0.84
2010-02-04,02:54,0.53,0.53
2010-02-04,10:00,-0.76,-0.76
2010-02-04,15:42,0.41,0.41
2010-02-04,22:30,-0.76,-0.76
2010-02-05,04:18,0.28,0.28
2010-02-05,10:12,-0.65,-0.65
2010-02-05,16:54,0.78,0.78
2010-02-06,00:12,-0.26,-0.26
2010-02-06,04:54,0.36,0.36
2010-02-06,10:48,-0.68,-0.68
2010-02-06,17:12,1.01,1.01
2010-02-07,10:30,-0.53,-0.53
2010-02-07,19:24,1.28,1.28
2010-02-08,14:18,-0.6,-0.6
2010-02-08,20:00,0.32,0.32
2010-02-09,03:36,-0.62,-0.62
2010-02-09,07:18,-0.33,-0.33
2010-02-09,14:06,-1.31,-1.31
2010-02-09,21:12,0.26,0.26
2010-02-10,03:48,-0.56,-0.56
2010-02-10,08:48,-0.06,-0.06
2010-02-10,17:24,-1.06,-1.06
2010-02-10,20:54,-0.6,-0.6
2010-02-11,13:24,-3.11,-3.11
